"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-07-04 09:00:00","ADAUSD Perpetual","8h","0.009988%"
"2022-07-04 01:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-07-03 17:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-07-03 09:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-07-03 01:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-07-02 17:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-07-02 09:00:00","ADAUSD Perpetual","8h","-0.002495%"
"2022-07-02 01:00:00","ADAUSD Perpetual","8h","-0.005585%"
"2022-07-01 17:00:00","ADAUSD Perpetual","8h","-0.002449%"
"2022-07-01 09:00:00","ADAUSD Perpetual","8h","-0.006997%"
"2022-07-01 01:00:00","ADAUSD Perpetual","8h","-0.028215%"
"2022-06-30 17:00:00","ADAUSD Perpetual","8h","0.000137%"
"2022-06-30 09:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-30 01:00:00","ADAUSD Perpetual","8h","0.006354%"
"2022-06-29 17:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-29 09:00:00","ADAUSD Perpetual","8h","-0.008086%"
"2022-06-29 01:00:00","ADAUSD Perpetual","8h","0.007376%"
"2022-06-28 17:00:00","ADAUSD Perpetual","8h","-0.018380%"
"2022-06-28 09:00:00","ADAUSD Perpetual","8h","0.003245%"
"2022-06-28 01:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-27 17:00:00","ADAUSD Perpetual","8h","-0.004245%"
"2022-06-27 09:00:00","ADAUSD Perpetual","8h","-0.007125%"
"2022-06-27 01:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-26 17:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-26 09:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-26 01:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-25 17:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-25 09:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-25 01:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-24 17:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-24 09:00:00","ADAUSD Perpetual","8h","-0.002802%"
"2022-06-24 01:00:00","ADAUSD Perpetual","8h","-0.018024%"
"2022-06-23 17:00:00","ADAUSD Perpetual","8h","-0.001047%"
"2022-06-23 09:00:00","ADAUSD Perpetual","8h","0.001478%"
"2022-06-23 01:00:00","ADAUSD Perpetual","8h","-0.006859%"
"2022-06-22 17:00:00","ADAUSD Perpetual","8h","-0.047398%"
"2022-06-22 09:00:00","ADAUSD Perpetual","8h","-0.024203%"
"2022-06-22 01:00:00","ADAUSD Perpetual","8h","-0.001400%"
"2022-06-21 17:00:00","ADAUSD Perpetual","8h","-0.002346%"
"2022-06-21 09:00:00","ADAUSD Perpetual","8h","-0.008115%"
"2022-06-21 01:00:00","ADAUSD Perpetual","8h","-0.022230%"
"2022-06-20 17:00:00","ADAUSD Perpetual","8h","-0.001598%"
"2022-06-20 09:00:00","ADAUSD Perpetual","8h","0.010000%"
"2022-06-20 01:00:00","ADAUSD Perpetual","8h","0.005234%"
"2022-06-19 17:00:00","ADAUSD Perpetual","8h","0.001337%"
"2022-06-19 09:00:00","ADAUSD Perpetual","8h","-0.012270%"
