"Time","Contracts","Funding Interval","Funding Rate"
"2022-12-24 09:00:00","APTUSD Perpetual","8h","0.002840%"
"2022-12-24 01:00:00","APTUSD Perpetual","8h","0.008899%"
"2022-12-23 17:00:00","APTUSD Perpetual","8h","0.009147%"
"2022-12-23 09:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-23 01:00:00","APTUSD Perpetual","8h","-0.009652%"
"2022-12-22 17:00:00","APTUSD Perpetual","8h","-0.014692%"
"2022-12-22 09:00:00","APTUSD Perpetual","8h","-0.013008%"
"2022-12-22 01:00:00","APTUSD Perpetual","8h","-0.026478%"
"2022-12-21 17:00:00","APTUSD Perpetual","8h","-0.001697%"
"2022-12-21 09:00:00","APTUSD Perpetual","8h","-0.021547%"
"2022-12-21 01:00:00","APTUSD Perpetual","8h","-0.044783%"
"2022-12-20 17:00:00","APTUSD Perpetual","8h","-0.011080%"
"2022-12-20 09:00:00","APTUSD Perpetual","8h","-0.014170%"
"2022-12-20 01:00:00","APTUSD Perpetual","8h","-0.003321%"
"2022-12-19 17:00:00","APTUSD Perpetual","8h","-0.000004%"
"2022-12-19 09:00:00","APTUSD Perpetual","8h","0.000115%"
"2022-12-19 01:00:00","APTUSD Perpetual","8h","-0.021440%"
"2022-12-18 17:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-18 09:00:00","APTUSD Perpetual","8h","-0.037480%"
"2022-12-18 01:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-17 17:00:00","APTUSD Perpetual","8h","-0.000925%"
"2022-12-17 09:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-17 01:00:00","APTUSD Perpetual","8h","-0.000613%"
"2022-12-16 17:00:00","APTUSD Perpetual","8h","-0.008504%"
"2022-12-16 09:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-16 01:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-15 17:00:00","APTUSD Perpetual","8h","0.006004%"
"2022-12-15 09:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-15 01:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-14 17:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-14 09:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-14 01:00:00","APTUSD Perpetual","8h","0.010000%"
"2022-12-13 17:00:00","APTUSD Perpetual","8h","0.003184%"
"2022-12-13 09:00:00","APTUSD Perpetual","8h","0.007012%"
