"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","AXSUSD Perpetual","8h","-0.035367%"
"2022-07-04 09:00:00","AXSUSD Perpetual","8h","-0.029573%"
"2022-07-04 01:00:00","AXSUSD Perpetual","8h","-0.027854%"
"2022-07-03 17:00:00","AXSUSD Perpetual","8h","-0.078328%"
"2022-07-03 09:00:00","AXSUSD Perpetual","8h","-0.091866%"
"2022-07-03 01:00:00","AXSUSD Perpetual","8h","-0.068904%"
"2022-07-02 17:00:00","AXSUSD Perpetual","8h","-0.040453%"
"2022-07-02 09:00:00","AXSUSD Perpetual","8h","-0.066753%"
"2022-07-02 01:00:00","AXSUSD Perpetual","8h","-0.070961%"
"2022-07-01 17:00:00","AXSUSD Perpetual","8h","-0.044869%"
"2022-07-01 09:00:00","AXSUSD Perpetual","8h","-0.044789%"
"2022-07-01 01:00:00","AXSUSD Perpetual","8h","-0.085271%"
"2022-06-30 17:00:00","AXSUSD Perpetual","8h","-0.043164%"
"2022-06-30 09:00:00","AXSUSD Perpetual","8h","-0.073820%"
"2022-06-30 01:00:00","AXSUSD Perpetual","8h","-0.055737%"
"2022-06-29 17:00:00","AXSUSD Perpetual","8h","-0.034961%"
"2022-06-29 09:00:00","AXSUSD Perpetual","8h","-0.045553%"
"2022-06-29 01:00:00","AXSUSD Perpetual","8h","-0.061872%"
"2022-06-28 17:00:00","AXSUSD Perpetual","8h","-0.065933%"
"2022-06-28 09:00:00","AXSUSD Perpetual","8h","-0.055672%"
"2022-06-28 01:00:00","AXSUSD Perpetual","8h","-0.055461%"
"2022-06-27 17:00:00","AXSUSD Perpetual","8h","-0.028282%"
"2022-06-27 09:00:00","AXSUSD Perpetual","8h","-0.060295%"
"2022-06-27 01:00:00","AXSUSD Perpetual","8h","-0.016330%"
"2022-06-26 17:00:00","AXSUSD Perpetual","8h","0.000044%"
"2022-06-26 09:00:00","AXSUSD Perpetual","8h","-0.041318%"
"2022-06-26 01:00:00","AXSUSD Perpetual","8h","-0.020947%"
"2022-06-25 17:00:00","AXSUSD Perpetual","8h","-0.034373%"
"2022-06-25 09:00:00","AXSUSD Perpetual","8h","0.005458%"
"2022-06-25 01:00:00","AXSUSD Perpetual","8h","-0.007688%"
"2022-06-24 17:00:00","AXSUSD Perpetual","8h","-0.015113%"
"2022-06-24 09:00:00","AXSUSD Perpetual","8h","-0.033134%"
"2022-06-24 01:00:00","AXSUSD Perpetual","8h","-0.046671%"
"2022-06-23 17:00:00","AXSUSD Perpetual","8h","-0.032950%"
