"Time","Contracts","Funding Interval","Funding Rate"
"2022-12-24 09:00:00","BCHUSD Perpetual","8h","-0.027984%"
"2022-12-24 01:00:00","BCHUSD Perpetual","8h","-0.026569%"
"2022-12-23 17:00:00","BCHUSD Perpetual","8h","0.000667%"
"2022-12-23 09:00:00","BCHUSD Perpetual","8h","0.007624%"
"2022-12-23 01:00:00","BCHUSD Perpetual","8h","-0.004085%"
"2022-12-22 17:00:00","BCHUSD Perpetual","8h","-0.009230%"
"2022-12-22 09:00:00","BCHUSD Perpetual","8h","-0.003976%"
"2022-12-22 01:00:00","BCHUSD Perpetual","8h","-0.002902%"
"2022-12-21 17:00:00","BCHUSD Perpetual","8h","-0.000997%"
"2022-12-21 09:00:00","BCHUSD Perpetual","8h","-0.001497%"
"2022-12-21 01:00:00","BCHUSD Perpetual","8h","0.002981%"
"2022-12-20 17:00:00","BCHUSD Perpetual","8h","0.004757%"
"2022-12-20 09:00:00","BCHUSD Perpetual","8h","-0.070345%"
"2022-12-20 01:00:00","BCHUSD Perpetual","8h","-0.015685%"
"2022-12-19 17:00:00","BCHUSD Perpetual","8h","-0.029262%"
"2022-12-19 09:00:00","BCHUSD Perpetual","8h","-0.031178%"
"2022-12-19 01:00:00","BCHUSD Perpetual","8h","-0.067389%"
"2022-12-18 17:00:00","BCHUSD Perpetual","8h","-0.025873%"
"2022-12-18 09:00:00","BCHUSD Perpetual","8h","-0.045931%"
"2022-12-18 01:00:00","BCHUSD Perpetual","8h","-0.041798%"
"2022-12-17 17:00:00","BCHUSD Perpetual","8h","-0.034394%"
"2022-12-17 09:00:00","BCHUSD Perpetual","8h","-0.041415%"
"2022-12-17 01:00:00","BCHUSD Perpetual","8h","-0.036971%"
"2022-12-16 17:00:00","BCHUSD Perpetual","8h","-0.008340%"
"2022-12-16 09:00:00","BCHUSD Perpetual","8h","0.010000%"
"2022-12-16 01:00:00","BCHUSD Perpetual","8h","0.008204%"
"2022-12-15 17:00:00","BCHUSD Perpetual","8h","-0.013930%"
