"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","BNBUSD Perpetual","8h","-0.032476%"
"2022-07-04 09:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-07-04 01:00:00","BNBUSD Perpetual","8h","-0.023858%"
"2022-07-03 17:00:00","BNBUSD Perpetual","8h","-0.010582%"
"2022-07-03 09:00:00","BNBUSD Perpetual","8h","-0.007747%"
"2022-07-03 01:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-07-02 17:00:00","BNBUSD Perpetual","8h","-0.009893%"
"2022-07-02 09:00:00","BNBUSD Perpetual","8h","-0.027464%"
"2022-07-02 01:00:00","BNBUSD Perpetual","8h","-0.005218%"
"2022-07-01 17:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-07-01 09:00:00","BNBUSD Perpetual","8h","-0.014408%"
"2022-07-01 01:00:00","BNBUSD Perpetual","8h","-0.037307%"
"2022-06-30 17:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-06-30 09:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-06-30 01:00:00","BNBUSD Perpetual","8h","-0.024304%"
"2022-06-29 17:00:00","BNBUSD Perpetual","8h","-0.008775%"
"2022-06-29 09:00:00","BNBUSD Perpetual","8h","-0.033447%"
"2022-06-29 01:00:00","BNBUSD Perpetual","8h","-0.002571%"
"2022-06-28 17:00:00","BNBUSD Perpetual","8h","-0.018308%"
"2022-06-28 09:00:00","BNBUSD Perpetual","8h","-0.027077%"
"2022-06-28 01:00:00","BNBUSD Perpetual","8h","-0.018291%"
"2022-06-27 17:00:00","BNBUSD Perpetual","8h","-0.022292%"
"2022-06-27 09:00:00","BNBUSD Perpetual","8h","-0.058923%"
"2022-06-27 01:00:00","BNBUSD Perpetual","8h","-0.019970%"
"2022-06-26 17:00:00","BNBUSD Perpetual","8h","-0.001572%"
"2022-06-26 09:00:00","BNBUSD Perpetual","8h","-0.016426%"
"2022-06-26 01:00:00","BNBUSD Perpetual","8h","-0.027921%"
"2022-06-25 17:00:00","BNBUSD Perpetual","8h","-0.027318%"
"2022-06-25 09:00:00","BNBUSD Perpetual","8h","-0.023783%"
"2022-06-25 01:00:00","BNBUSD Perpetual","8h","-0.014902%"
"2022-06-24 17:00:00","BNBUSD Perpetual","8h","-0.015476%"
"2022-06-24 09:00:00","BNBUSD Perpetual","8h","-0.029899%"
"2022-06-24 01:00:00","BNBUSD Perpetual","8h","-0.039860%"
"2022-06-23 17:00:00","BNBUSD Perpetual","8h","-0.019688%"
"2022-06-23 09:00:00","BNBUSD Perpetual","8h","-0.033384%"
"2022-06-23 01:00:00","BNBUSD Perpetual","8h","-0.041530%"
"2022-06-22 17:00:00","BNBUSD Perpetual","8h","-0.045641%"
"2022-06-22 09:00:00","BNBUSD Perpetual","8h","-0.038902%"
"2022-06-22 01:00:00","BNBUSD Perpetual","8h","-0.029182%"
"2022-06-21 17:00:00","BNBUSD Perpetual","8h","-0.036930%"
"2022-06-21 09:00:00","BNBUSD Perpetual","8h","-0.037393%"
"2022-06-21 01:00:00","BNBUSD Perpetual","8h","-0.032305%"
"2022-06-20 17:00:00","BNBUSD Perpetual","8h","-0.061699%"
"2022-06-20 09:00:00","BNBUSD Perpetual","8h","-0.015601%"
"2022-06-20 01:00:00","BNBUSD Perpetual","8h","-0.029454%"
"2022-06-19 17:00:00","BNBUSD Perpetual","8h","-0.025769%"
"2022-06-19 09:00:00","BNBUSD Perpetual","8h","-0.069069%"
"2022-06-19 01:00:00","BNBUSD Perpetual","8h","-0.031821%"
"2022-06-18 17:00:00","BNBUSD Perpetual","8h","-0.050937%"
"2022-06-18 09:00:00","BNBUSD Perpetual","8h","-0.027038%"
"2022-06-18 01:00:00","BNBUSD Perpetual","8h","-0.018903%"
"2022-06-17 17:00:00","BNBUSD Perpetual","8h","-0.009749%"
"2022-06-17 09:00:00","BNBUSD Perpetual","8h","-0.019328%"
"2022-06-17 01:00:00","BNBUSD Perpetual","8h","-0.017702%"
"2022-06-16 17:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-06-16 09:00:00","BNBUSD Perpetual","8h","-0.006549%"
"2022-06-16 01:00:00","BNBUSD Perpetual","8h","-0.027894%"
"2022-06-15 17:00:00","BNBUSD Perpetual","8h","-0.034845%"
"2022-06-15 09:00:00","BNBUSD Perpetual","8h","-0.029355%"
"2022-06-15 01:00:00","BNBUSD Perpetual","8h","-0.014289%"
"2022-06-14 17:00:00","BNBUSD Perpetual","8h","-0.019399%"
"2022-06-14 09:00:00","BNBUSD Perpetual","8h","-0.021372%"
"2022-06-14 01:00:00","BNBUSD Perpetual","8h","-0.040835%"
"2022-06-13 17:00:00","BNBUSD Perpetual","8h","-0.032850%"
"2022-06-13 09:00:00","BNBUSD Perpetual","8h","-0.005473%"
"2022-06-13 01:00:00","BNBUSD Perpetual","8h","-0.014713%"
"2022-06-12 17:00:00","BNBUSD Perpetual","8h","-0.022149%"
"2022-06-12 09:00:00","BNBUSD Perpetual","8h","-0.021158%"
"2022-06-12 01:00:00","BNBUSD Perpetual","8h","-0.023380%"
"2022-06-11 17:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-06-11 09:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-06-11 01:00:00","BNBUSD Perpetual","8h","-0.026664%"
"2022-06-10 17:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-06-10 09:00:00","BNBUSD Perpetual","8h","-0.019724%"
"2022-06-10 01:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-06-09 17:00:00","BNBUSD Perpetual","8h","-0.004331%"
"2022-06-09 09:00:00","BNBUSD Perpetual","8h","-0.009067%"
"2022-06-09 01:00:00","BNBUSD Perpetual","8h","-0.012810%"
"2022-06-08 17:00:00","BNBUSD Perpetual","8h","-0.008395%"
"2022-06-08 09:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-06-08 01:00:00","BNBUSD Perpetual","8h","-0.000621%"
"2022-06-07 17:00:00","BNBUSD Perpetual","8h","-0.029043%"
"2022-06-07 09:00:00","BNBUSD Perpetual","8h","-0.025420%"
"2022-06-07 01:00:00","BNBUSD Perpetual","8h","0.000000%"
"2022-06-06 17:00:00","BNBUSD Perpetual","8h","0.000000%"
