"Time","Contracts","Funding Interval","Funding Rate"
"2022-12-24 09:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-24 01:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-23 17:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-23 09:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-23 01:00:00","BTCUSD Perpetual","8h","0.002647%"
"2022-12-22 17:00:00","BTCUSD Perpetual","8h","0.004493%"
"2022-12-22 09:00:00","BTCUSD Perpetual","8h","0.007216%"
"2022-12-22 01:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-21 17:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-21 09:00:00","BTCUSD Perpetual","8h","0.009194%"
"2022-12-21 01:00:00","BTCUSD Perpetual","8h","0.008064%"
"2022-12-20 17:00:00","BTCUSD Perpetual","8h","0.009677%"
"2022-12-20 09:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-20 01:00:00","BTCUSD Perpetual","8h","0.002662%"
"2022-12-19 17:00:00","BTCUSD Perpetual","8h","0.001616%"
"2022-12-19 09:00:00","BTCUSD Perpetual","8h","0.000074%"
"2022-12-19 01:00:00","BTCUSD Perpetual","8h","-0.001007%"
"2022-12-18 17:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-18 09:00:00","BTCUSD Perpetual","8h","0.005814%"
"2022-12-18 01:00:00","BTCUSD Perpetual","8h","0.008140%"
"2022-12-17 17:00:00","BTCUSD Perpetual","8h","0.002022%"
"2022-12-17 09:00:00","BTCUSD Perpetual","8h","-0.005449%"
"2022-12-17 01:00:00","BTCUSD Perpetual","8h","0.003002%"
"2022-12-16 17:00:00","BTCUSD Perpetual","8h","0.006124%"
"2022-12-16 09:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-16 01:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-15 17:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-15 09:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-15 01:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-14 17:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-14 09:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-14 01:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-13 17:00:00","BTCUSD Perpetual","8h","0.004868%"
"2022-12-13 09:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-13 01:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-12 17:00:00","BTCUSD Perpetual","8h","0.000198%"
"2022-12-12 09:00:00","BTCUSD Perpetual","8h","0.008312%"
"2022-12-12 01:00:00","BTCUSD Perpetual","8h","-0.006049%"
"2022-12-11 17:00:00","BTCUSD Perpetual","8h","0.010000%"
"2022-12-11 09:00:00","BTCUSD Perpetual","8h","-0.004371%"
"2022-12-11 01:00:00","BTCUSD Perpetual","8h","0.003820%"
"2022-12-10 17:00:00","BTCUSD Perpetual","8h","0.006490%"
