"Time","Contracts","Funding Interval","Funding Rate"
"2022-12-24 09:00:00","CHZUSD Perpetual","8h","0.007308%"
"2022-12-24 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-23 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-23 09:00:00","CHZUSD Perpetual","8h","0.001732%"
"2022-12-23 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-22 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-22 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-22 01:00:00","CHZUSD Perpetual","8h","-0.005435%"
"2022-12-21 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-21 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-21 01:00:00","CHZUSD Perpetual","8h","-0.009734%"
"2022-12-20 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-20 09:00:00","CHZUSD Perpetual","8h","-0.002879%"
"2022-12-20 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-19 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-19 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-19 01:00:00","CHZUSD Perpetual","8h","0.009285%"
"2022-12-18 17:00:00","CHZUSD Perpetual","8h","-0.016927%"
"2022-12-18 09:00:00","CHZUSD Perpetual","8h","-0.034517%"
"2022-12-18 01:00:00","CHZUSD Perpetual","8h","-0.006359%"
"2022-12-17 17:00:00","CHZUSD Perpetual","8h","-0.033487%"
"2022-12-17 09:00:00","CHZUSD Perpetual","8h","-0.014076%"
"2022-12-17 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-16 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-16 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-16 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-15 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-15 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-15 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-14 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-14 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-14 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-13 17:00:00","CHZUSD Perpetual","8h","0.006554%"
"2022-12-13 09:00:00","CHZUSD Perpetual","8h","-0.002599%"
"2022-12-13 01:00:00","CHZUSD Perpetual","8h","-0.054651%"
"2022-12-12 17:00:00","CHZUSD Perpetual","8h","-0.002304%"
"2022-12-12 09:00:00","CHZUSD Perpetual","8h","0.005103%"
"2022-12-12 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-11 17:00:00","CHZUSD Perpetual","8h","0.000558%"
"2022-12-11 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-11 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-10 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-10 09:00:00","CHZUSD Perpetual","8h","0.008595%"
"2022-12-10 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-09 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-09 09:00:00","CHZUSD Perpetual","8h","-0.009442%"
"2022-12-09 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-08 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-08 09:00:00","CHZUSD Perpetual","8h","-0.007807%"
"2022-12-08 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-07 17:00:00","CHZUSD Perpetual","8h","0.006782%"
"2022-12-07 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-07 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-06 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-06 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-06 01:00:00","CHZUSD Perpetual","8h","-0.005613%"
"2022-12-05 17:00:00","CHZUSD Perpetual","8h","0.008953%"
"2022-12-05 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-05 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-04 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-04 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-04 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-03 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-03 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-03 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-02 17:00:00","CHZUSD Perpetual","8h","0.003663%"
"2022-12-02 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-02 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-01 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-12-01 09:00:00","CHZUSD Perpetual","8h","0.005831%"
"2022-12-01 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-30 17:00:00","CHZUSD Perpetual","8h","0.002137%"
"2022-11-30 09:00:00","CHZUSD Perpetual","8h","0.006674%"
"2022-11-30 01:00:00","CHZUSD Perpetual","8h","-0.010806%"
"2022-11-29 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-29 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-29 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-28 17:00:00","CHZUSD Perpetual","8h","-0.051093%"
"2022-11-28 09:00:00","CHZUSD Perpetual","8h","-0.000434%"
"2022-11-28 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-27 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-27 09:00:00","CHZUSD Perpetual","8h","0.004259%"
"2022-11-27 01:00:00","CHZUSD Perpetual","8h","0.004248%"
"2022-11-26 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-26 09:00:00","CHZUSD Perpetual","8h","-0.004342%"
"2022-11-26 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-25 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-25 09:00:00","CHZUSD Perpetual","8h","-0.001804%"
"2022-11-25 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-24 17:00:00","CHZUSD Perpetual","8h","-0.003202%"
"2022-11-24 09:00:00","CHZUSD Perpetual","8h","-0.000497%"
"2022-11-24 01:00:00","CHZUSD Perpetual","8h","0.002319%"
"2022-11-23 17:00:00","CHZUSD Perpetual","8h","-0.000098%"
"2022-11-23 09:00:00","CHZUSD Perpetual","8h","0.000089%"
"2022-11-23 01:00:00","CHZUSD Perpetual","8h","0.006948%"
"2022-11-22 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-22 09:00:00","CHZUSD Perpetual","8h","-0.034292%"
"2022-11-22 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-21 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-21 09:00:00","CHZUSD Perpetual","8h","0.001709%"
"2022-11-21 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-20 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-20 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-20 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-19 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-19 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-19 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-18 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-18 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-18 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-17 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-17 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-17 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-16 17:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-16 09:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-16 01:00:00","CHZUSD Perpetual","8h","0.010000%"
"2022-11-15 17:00:00","CHZUSD Perpetual","8h","0.010000%"
