"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-04 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-04 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-03 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-03 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-03 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-02 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-02 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-02 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-01 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-01 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-07-01 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-30 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-30 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-30 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-29 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-29 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-29 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-28 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-28 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-28 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-27 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-27 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-27 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-26 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-26 09:00:00","CRVUSD Perpetual","8h","-0.004134%"
"2022-06-26 01:00:00","CRVUSD Perpetual","8h","-0.027154%"
"2022-06-25 17:00:00","CRVUSD Perpetual","8h","-0.220951%"
"2022-06-25 09:00:00","CRVUSD Perpetual","8h","-0.087450%"
"2022-06-25 01:00:00","CRVUSD Perpetual","8h","-0.065294%"
"2022-06-24 17:00:00","CRVUSD Perpetual","8h","-0.033413%"
"2022-06-24 09:00:00","CRVUSD Perpetual","8h","-0.109192%"
"2022-06-24 01:00:00","CRVUSD Perpetual","8h","-0.108767%"
"2022-06-23 17:00:00","CRVUSD Perpetual","8h","-0.013797%"
"2022-06-23 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-23 01:00:00","CRVUSD Perpetual","8h","-0.052482%"
"2022-06-22 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-22 09:00:00","CRVUSD Perpetual","8h","-0.086366%"
"2022-06-22 01:00:00","CRVUSD Perpetual","8h","-0.050425%"
"2022-06-21 17:00:00","CRVUSD Perpetual","8h","-0.024965%"
"2022-06-21 09:00:00","CRVUSD Perpetual","8h","-0.033801%"
"2022-06-21 01:00:00","CRVUSD Perpetual","8h","-0.030924%"
"2022-06-20 17:00:00","CRVUSD Perpetual","8h","0.001707%"
"2022-06-20 09:00:00","CRVUSD Perpetual","8h","-0.008235%"
"2022-06-20 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-19 17:00:00","CRVUSD Perpetual","8h","-0.102524%"
"2022-06-19 09:00:00","CRVUSD Perpetual","8h","-0.063605%"
"2022-06-19 01:00:00","CRVUSD Perpetual","8h","-0.060499%"
"2022-06-18 17:00:00","CRVUSD Perpetual","8h","-0.301316%"
"2022-06-18 09:00:00","CRVUSD Perpetual","8h","0.001545%"
"2022-06-18 01:00:00","CRVUSD Perpetual","8h","-0.001356%"
"2022-06-17 17:00:00","CRVUSD Perpetual","8h","-0.022467%"
"2022-06-17 09:00:00","CRVUSD Perpetual","8h","-0.087947%"
"2022-06-17 01:00:00","CRVUSD Perpetual","8h","-0.037187%"
"2022-06-16 17:00:00","CRVUSD Perpetual","8h","-0.125493%"
"2022-06-16 09:00:00","CRVUSD Perpetual","8h","-0.040969%"
"2022-06-16 01:00:00","CRVUSD Perpetual","8h","-0.048808%"
"2022-06-15 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-15 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-15 01:00:00","CRVUSD Perpetual","8h","-0.006269%"
"2022-06-14 17:00:00","CRVUSD Perpetual","8h","0.001603%"
"2022-06-14 09:00:00","CRVUSD Perpetual","8h","-0.054796%"
"2022-06-14 01:00:00","CRVUSD Perpetual","8h","-0.053047%"
"2022-06-13 17:00:00","CRVUSD Perpetual","8h","-0.156058%"
"2022-06-13 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-13 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-12 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-12 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-12 01:00:00","CRVUSD Perpetual","8h","-0.009204%"
"2022-06-11 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-11 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-11 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-10 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-10 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-10 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-09 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-09 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-09 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-08 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-08 09:00:00","CRVUSD Perpetual","8h","-0.000313%"
"2022-06-08 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-07 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-07 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-07 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-06 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-06 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-06 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-05 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-05 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-05 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-04 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-04 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-04 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-03 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-03 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-03 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-02 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-02 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-02 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-01 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-01 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-06-01 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-05-31 17:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-05-31 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-05-31 01:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-05-30 17:00:00","CRVUSD Perpetual","8h","0.008124%"
"2022-05-30 09:00:00","CRVUSD Perpetual","8h","0.010000%"
"2022-05-30 01:00:00","CRVUSD Perpetual","8h","0.010000%"
