"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","DOGEUSD Perpetual","8h","0.003105%"
"2022-07-04 09:00:00","DOGEUSD Perpetual","8h","0.010000%"
"2022-07-04 01:00:00","DOGEUSD Perpetual","8h","0.001200%"
"2022-07-03 17:00:00","DOGEUSD Perpetual","8h","-0.006559%"
"2022-07-03 09:00:00","DOGEUSD Perpetual","8h","-0.004797%"
"2022-07-03 01:00:00","DOGEUSD Perpetual","8h","-0.000364%"
"2022-07-02 17:00:00","DOGEUSD Perpetual","8h","0.008891%"
"2022-07-02 09:00:00","DOGEUSD Perpetual","8h","0.004318%"
"2022-07-02 01:00:00","DOGEUSD Perpetual","8h","0.010000%"
"2022-07-01 17:00:00","DOGEUSD Perpetual","8h","0.010000%"
"2022-07-01 09:00:00","DOGEUSD Perpetual","8h","0.001246%"
"2022-07-01 01:00:00","DOGEUSD Perpetual","8h","-0.020854%"
"2022-06-30 17:00:00","DOGEUSD Perpetual","8h","0.010000%"
"2022-06-30 09:00:00","DOGEUSD Perpetual","8h","0.003682%"
"2022-06-30 01:00:00","DOGEUSD Perpetual","8h","0.009629%"
"2022-06-29 17:00:00","DOGEUSD Perpetual","8h","0.010000%"
"2022-06-29 09:00:00","DOGEUSD Perpetual","8h","0.010000%"
"2022-06-29 01:00:00","DOGEUSD Perpetual","8h","0.008319%"
"2022-06-28 17:00:00","DOGEUSD Perpetual","8h","0.008835%"
"2022-06-28 09:00:00","DOGEUSD Perpetual","8h","0.004344%"
"2022-06-28 01:00:00","DOGEUSD Perpetual","8h","-0.003230%"
"2022-06-27 17:00:00","DOGEUSD Perpetual","8h","-0.026646%"
"2022-06-27 09:00:00","DOGEUSD Perpetual","8h","-0.009322%"
"2022-06-27 01:00:00","DOGEUSD Perpetual","8h","-0.000936%"
"2022-06-26 17:00:00","DOGEUSD Perpetual","8h","-0.004498%"
"2022-06-26 09:00:00","DOGEUSD Perpetual","8h","-0.018862%"
"2022-06-26 01:00:00","DOGEUSD Perpetual","8h","-0.016298%"
"2022-06-25 17:00:00","DOGEUSD Perpetual","8h","-0.021778%"
"2022-06-25 09:00:00","DOGEUSD Perpetual","8h","-0.026713%"
"2022-06-25 01:00:00","DOGEUSD Perpetual","8h","-0.026213%"
"2022-06-24 17:00:00","DOGEUSD Perpetual","8h","-0.000264%"
"2022-06-24 09:00:00","DOGEUSD Perpetual","8h","-0.025366%"
"2022-06-24 01:00:00","DOGEUSD Perpetual","8h","-0.003533%"
"2022-06-23 17:00:00","DOGEUSD Perpetual","8h","-0.001141%"
"2022-06-23 09:00:00","DOGEUSD Perpetual","8h","-0.000518%"
"2022-06-23 01:00:00","DOGEUSD Perpetual","8h","-0.013133%"
"2022-06-22 17:00:00","DOGEUSD Perpetual","8h","-0.009961%"
"2022-06-22 09:00:00","DOGEUSD Perpetual","8h","-0.019123%"
"2022-06-22 01:00:00","DOGEUSD Perpetual","8h","-0.013773%"
"2022-06-21 17:00:00","DOGEUSD Perpetual","8h","-0.004759%"
"2022-06-21 09:00:00","DOGEUSD Perpetual","8h","-0.010998%"
"2022-06-21 01:00:00","DOGEUSD Perpetual","8h","-0.019672%"
"2022-06-20 17:00:00","DOGEUSD Perpetual","8h","-0.013644%"
"2022-06-20 09:00:00","DOGEUSD Perpetual","8h","0.010000%"
"2022-06-20 01:00:00","DOGEUSD Perpetual","8h","-0.011502%"
"2022-06-19 17:00:00","DOGEUSD Perpetual","8h","-0.006102%"
"2022-06-19 09:00:00","DOGEUSD Perpetual","8h","-0.046388%"
"2022-06-19 01:00:00","DOGEUSD Perpetual","8h","-0.034064%"
"2022-06-18 17:00:00","DOGEUSD Perpetual","8h","-0.028842%"
"2022-06-18 09:00:00","DOGEUSD Perpetual","8h","-0.023668%"
"2022-06-18 01:00:00","DOGEUSD Perpetual","8h","-0.022692%"
"2022-06-17 17:00:00","DOGEUSD Perpetual","8h","-0.036144%"
"2022-06-17 09:00:00","DOGEUSD Perpetual","8h","-0.023623%"
"2022-06-17 01:00:00","DOGEUSD Perpetual","8h","-0.037341%"
"2022-06-16 17:00:00","DOGEUSD Perpetual","8h","-0.035888%"
"2022-06-16 09:00:00","DOGEUSD Perpetual","8h","0.001474%"
"2022-06-16 01:00:00","DOGEUSD Perpetual","8h","-0.036192%"
"2022-06-15 17:00:00","DOGEUSD Perpetual","8h","-0.020126%"
"2022-06-15 09:00:00","DOGEUSD Perpetual","8h","0.000415%"
"2022-06-15 01:00:00","DOGEUSD Perpetual","8h","-0.001213%"
"2022-06-14 17:00:00","DOGEUSD Perpetual","8h","-0.015238%"
"2022-06-14 09:00:00","DOGEUSD Perpetual","8h","-0.034813%"
