"Time","Contracts","Funding Interval","Funding Rate"
"2022-09-20 09:00:00","DOTUSD Perpetual","8h","-0.017302%"
"2022-09-20 01:00:00","DOTUSD Perpetual","8h","-0.015408%"
"2022-09-19 17:00:00","DOTUSD Perpetual","8h","-0.012117%"
"2022-09-19 09:00:00","DOTUSD Perpetual","8h","-0.025897%"
"2022-09-19 01:00:00","DOTUSD Perpetual","8h","0.001571%"
"2022-09-18 17:00:00","DOTUSD Perpetual","8h","0.006769%"
"2022-09-18 09:00:00","DOTUSD Perpetual","8h","-0.002207%"
"2022-09-18 01:00:00","DOTUSD Perpetual","8h","0.002206%"
"2022-09-17 17:00:00","DOTUSD Perpetual","8h","-0.007511%"
"2022-09-17 09:00:00","DOTUSD Perpetual","8h","-0.010348%"
"2022-09-17 01:00:00","DOTUSD Perpetual","8h","-0.012212%"
"2022-09-16 17:00:00","DOTUSD Perpetual","8h","0.008117%"
"2022-09-16 09:00:00","DOTUSD Perpetual","8h","-0.002169%"
"2022-09-16 01:00:00","DOTUSD Perpetual","8h","-0.018707%"
"2022-09-15 17:00:00","DOTUSD Perpetual","8h","-0.014213%"
"2022-09-15 09:00:00","DOTUSD Perpetual","8h","-0.015705%"
"2022-09-15 01:00:00","DOTUSD Perpetual","8h","-0.002463%"
"2022-09-14 17:00:00","DOTUSD Perpetual","8h","0.007312%"
"2022-09-14 09:00:00","DOTUSD Perpetual","8h","-0.012127%"
"2022-09-14 01:00:00","DOTUSD Perpetual","8h","-0.015280%"
"2022-09-13 17:00:00","DOTUSD Perpetual","8h","-0.002444%"
"2022-09-13 09:00:00","DOTUSD Perpetual","8h","0.001322%"
"2022-09-13 01:00:00","DOTUSD Perpetual","8h","-0.001369%"
"2022-09-12 17:00:00","DOTUSD Perpetual","8h","0.007427%"
"2022-09-12 09:00:00","DOTUSD Perpetual","8h","-0.016924%"
"2022-09-12 01:00:00","DOTUSD Perpetual","8h","-0.002101%"
"2022-09-11 17:00:00","DOTUSD Perpetual","8h","-0.009092%"
"2022-09-11 09:00:00","DOTUSD Perpetual","8h","-0.014381%"
"2022-09-11 01:00:00","DOTUSD Perpetual","8h","0.000065%"
"2022-09-10 17:00:00","DOTUSD Perpetual","8h","-0.014289%"
"2022-09-10 09:00:00","DOTUSD Perpetual","8h","-0.012228%"
"2022-09-10 01:00:00","DOTUSD Perpetual","8h","-0.014759%"
"2022-09-09 17:00:00","DOTUSD Perpetual","8h","-0.003876%"
"2022-09-09 09:00:00","DOTUSD Perpetual","8h","-0.014355%"
"2022-09-09 01:00:00","DOTUSD Perpetual","8h","-0.003137%"
"2022-09-08 17:00:00","DOTUSD Perpetual","8h","0.003146%"
"2022-09-08 09:00:00","DOTUSD Perpetual","8h","-0.006622%"
"2022-09-08 01:00:00","DOTUSD Perpetual","8h","-0.016696%"
"2022-09-07 17:00:00","DOTUSD Perpetual","8h","-0.004083%"
"2022-09-07 09:00:00","DOTUSD Perpetual","8h","-0.014501%"
"2022-09-07 01:00:00","DOTUSD Perpetual","8h","0.010000%"
"2022-09-06 17:00:00","DOTUSD Perpetual","8h","0.010000%"
"2022-09-06 09:00:00","DOTUSD Perpetual","8h","0.010000%"
"2022-09-06 01:00:00","DOTUSD Perpetual","8h","0.010000%"
"2022-09-05 17:00:00","DOTUSD Perpetual","8h","-0.008061%"
"2022-09-05 09:00:00","DOTUSD Perpetual","8h","0.002094%"
"2022-09-05 01:00:00","DOTUSD Perpetual","8h","-0.009443%"
"2022-09-04 17:00:00","DOTUSD Perpetual","8h","-0.001414%"
"2022-09-04 09:00:00","DOTUSD Perpetual","8h","-0.005805%"
"2022-09-04 01:00:00","DOTUSD Perpetual","8h","-0.010032%"
"2022-09-03 17:00:00","DOTUSD Perpetual","8h","-0.003222%"
"2022-09-03 09:00:00","DOTUSD Perpetual","8h","0.007963%"
"2022-09-03 01:00:00","DOTUSD Perpetual","8h","-0.001075%"
"2022-09-02 17:00:00","DOTUSD Perpetual","8h","0.010000%"
"2022-09-02 09:00:00","DOTUSD Perpetual","8h","-0.000528%"
"2022-09-02 01:00:00","DOTUSD Perpetual","8h","-0.004472%"
"2022-09-01 17:00:00","DOTUSD Perpetual","8h","0.004986%"
"2022-09-01 09:00:00","DOTUSD Perpetual","8h","0.004151%"
"2022-09-01 01:00:00","DOTUSD Perpetual","8h","-0.002941%"
"2022-08-31 17:00:00","DOTUSD Perpetual","8h","-0.011963%"
"2022-08-31 09:00:00","DOTUSD Perpetual","8h","0.000632%"
"2022-08-31 01:00:00","DOTUSD Perpetual","8h","-0.003973%"
"2022-08-30 17:00:00","DOTUSD Perpetual","8h","-0.001709%"
"2022-08-30 09:00:00","DOTUSD Perpetual","8h","-0.000891%"
"2022-08-30 01:00:00","DOTUSD Perpetual","8h","0.000214%"
"2022-08-29 17:00:00","DOTUSD Perpetual","8h","-0.006338%"
"2022-08-29 09:00:00","DOTUSD Perpetual","8h","-0.011871%"
"2022-08-29 01:00:00","DOTUSD Perpetual","8h","-0.022218%"
"2022-08-28 17:00:00","DOTUSD Perpetual","8h","-0.028862%"
"2022-08-28 09:00:00","DOTUSD Perpetual","8h","-0.017357%"
"2022-08-28 01:00:00","DOTUSD Perpetual","8h","-0.004988%"
"2022-08-27 17:00:00","DOTUSD Perpetual","8h","-0.015350%"
"2022-08-27 09:00:00","DOTUSD Perpetual","8h","-0.026008%"
"2022-08-27 01:00:00","DOTUSD Perpetual","8h","-0.002911%"
"2022-08-26 17:00:00","DOTUSD Perpetual","8h","-0.006825%"
"2022-08-26 09:00:00","DOTUSD Perpetual","8h","0.003667%"
"2022-08-26 01:00:00","DOTUSD Perpetual","8h","-0.004412%"
"2022-08-25 17:00:00","DOTUSD Perpetual","8h","-0.003188%"
"2022-08-25 09:00:00","DOTUSD Perpetual","8h","-0.016370%"
"2022-08-25 01:00:00","DOTUSD Perpetual","8h","-0.012197%"
"2022-08-24 17:00:00","DOTUSD Perpetual","8h","-0.002120%"
"2022-08-24 09:00:00","DOTUSD Perpetual","8h","-0.005534%"
"2022-08-24 01:00:00","DOTUSD Perpetual","8h","-0.006262%"
"2022-08-23 17:00:00","DOTUSD Perpetual","8h","-0.004532%"
"2022-08-23 09:00:00","DOTUSD Perpetual","8h","0.010000%"
"2022-08-23 01:00:00","DOTUSD Perpetual","8h","-0.009149%"
"2022-08-22 17:00:00","DOTUSD Perpetual","8h","-0.024484%"
"2022-08-22 09:00:00","DOTUSD Perpetual","8h","-0.012236%"
"2022-08-22 01:00:00","DOTUSD Perpetual","8h","-0.020120%"
"2022-08-21 17:00:00","DOTUSD Perpetual","8h","-0.011358%"
"2022-08-21 09:00:00","DOTUSD Perpetual","8h","-0.013791%"
"2022-08-21 01:00:00","DOTUSD Perpetual","8h","-0.037215%"
"2022-08-20 17:00:00","DOTUSD Perpetual","8h","-0.034113%"
