"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-07-04 09:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-07-04 01:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-07-03 17:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-07-03 09:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-07-03 01:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-07-02 17:00:00","EOSUSD Perpetual","8h","-0.005344%"
"2022-07-02 09:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-07-02 01:00:00","EOSUSD Perpetual","8h","-0.010391%"
"2022-07-01 17:00:00","EOSUSD Perpetual","8h","-0.009455%"
"2022-07-01 09:00:00","EOSUSD Perpetual","8h","-0.002069%"
"2022-07-01 01:00:00","EOSUSD Perpetual","8h","-0.024364%"
"2022-06-30 17:00:00","EOSUSD Perpetual","8h","-0.006707%"
"2022-06-30 09:00:00","EOSUSD Perpetual","8h","-0.000159%"
"2022-06-30 01:00:00","EOSUSD Perpetual","8h","-0.004989%"
"2022-06-29 17:00:00","EOSUSD Perpetual","8h","0.008394%"
"2022-06-29 09:00:00","EOSUSD Perpetual","8h","-0.013599%"
"2022-06-29 01:00:00","EOSUSD Perpetual","8h","-0.016997%"
"2022-06-28 17:00:00","EOSUSD Perpetual","8h","-0.013017%"
"2022-06-28 09:00:00","EOSUSD Perpetual","8h","-0.019957%"
"2022-06-28 01:00:00","EOSUSD Perpetual","8h","0.003317%"
"2022-06-27 17:00:00","EOSUSD Perpetual","8h","0.002250%"
"2022-06-27 09:00:00","EOSUSD Perpetual","8h","-0.000679%"
"2022-06-27 01:00:00","EOSUSD Perpetual","8h","0.009266%"
"2022-06-26 17:00:00","EOSUSD Perpetual","8h","0.007287%"
"2022-06-26 09:00:00","EOSUSD Perpetual","8h","-0.001893%"
"2022-06-26 01:00:00","EOSUSD Perpetual","8h","-0.000866%"
"2022-06-25 17:00:00","EOSUSD Perpetual","8h","0.009341%"
"2022-06-25 09:00:00","EOSUSD Perpetual","8h","-0.011450%"
"2022-06-25 01:00:00","EOSUSD Perpetual","8h","-0.000735%"
"2022-06-24 17:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-06-24 09:00:00","EOSUSD Perpetual","8h","-0.004059%"
"2022-06-24 01:00:00","EOSUSD Perpetual","8h","-0.003028%"
"2022-06-23 17:00:00","EOSUSD Perpetual","8h","0.006048%"
"2022-06-23 09:00:00","EOSUSD Perpetual","8h","0.001633%"
"2022-06-23 01:00:00","EOSUSD Perpetual","8h","0.006093%"
"2022-06-22 17:00:00","EOSUSD Perpetual","8h","-0.004677%"
"2022-06-22 09:00:00","EOSUSD Perpetual","8h","-0.007175%"
"2022-06-22 01:00:00","EOSUSD Perpetual","8h","-0.037175%"
"2022-06-21 17:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-06-21 09:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-06-21 01:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-06-20 17:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-06-20 09:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-06-20 01:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-06-19 17:00:00","EOSUSD Perpetual","8h","-0.020241%"
"2022-06-19 09:00:00","EOSUSD Perpetual","8h","0.001772%"
"2022-06-19 01:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-06-18 17:00:00","EOSUSD Perpetual","8h","-0.029418%"
"2022-06-18 09:00:00","EOSUSD Perpetual","8h","0.005402%"
"2022-06-18 01:00:00","EOSUSD Perpetual","8h","-0.011676%"
"2022-06-17 17:00:00","EOSUSD Perpetual","8h","0.010000%"
"2022-06-17 09:00:00","EOSUSD Perpetual","8h","-0.008743%"
"2022-06-17 01:00:00","EOSUSD Perpetual","8h","0.001266%"
"2022-06-16 17:00:00","EOSUSD Perpetual","8h","-0.021125%"
"2022-06-16 09:00:00","EOSUSD Perpetual","8h","-0.003517%"
"2022-06-16 01:00:00","EOSUSD Perpetual","8h","-0.023260%"
"2022-06-15 17:00:00","EOSUSD Perpetual","8h","-0.026577%"
"2022-06-15 09:00:00","EOSUSD Perpetual","8h","-0.047979%"
