"Time","Contracts","Funding Interval","Funding Rate"
"2022-09-20 09:00:00","ETCUSD Perpetual","8h","-0.268938%"
"2022-09-20 01:00:00","ETCUSD Perpetual","8h","-0.252763%"
"2022-09-19 17:00:00","ETCUSD Perpetual","8h","-0.175083%"
"2022-09-19 09:00:00","ETCUSD Perpetual","8h","-0.132332%"
"2022-09-19 01:00:00","ETCUSD Perpetual","8h","-0.054285%"
"2022-09-18 17:00:00","ETCUSD Perpetual","8h","-0.021759%"
"2022-09-18 09:00:00","ETCUSD Perpetual","8h","-0.035244%"
"2022-09-18 01:00:00","ETCUSD Perpetual","8h","-0.042450%"
"2022-09-17 17:00:00","ETCUSD Perpetual","8h","-0.069759%"
"2022-09-17 09:00:00","ETCUSD Perpetual","8h","-0.093416%"
"2022-09-17 01:00:00","ETCUSD Perpetual","8h","-0.172174%"
"2022-09-16 17:00:00","ETCUSD Perpetual","8h","-0.230103%"
"2022-09-16 09:00:00","ETCUSD Perpetual","8h","-0.022090%"
"2022-09-16 01:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-15 17:00:00","ETCUSD Perpetual","8h","-0.017131%"
"2022-09-15 09:00:00","ETCUSD Perpetual","8h","0.007169%"
"2022-09-15 01:00:00","ETCUSD Perpetual","8h","-0.000733%"
"2022-09-14 17:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-14 09:00:00","ETCUSD Perpetual","8h","0.002410%"
"2022-09-14 01:00:00","ETCUSD Perpetual","8h","-0.003095%"
"2022-09-13 17:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-13 09:00:00","ETCUSD Perpetual","8h","-0.007633%"
"2022-09-13 01:00:00","ETCUSD Perpetual","8h","0.000474%"
"2022-09-12 17:00:00","ETCUSD Perpetual","8h","-0.006939%"
"2022-09-12 09:00:00","ETCUSD Perpetual","8h","-0.003168%"
"2022-09-12 01:00:00","ETCUSD Perpetual","8h","-0.001761%"
"2022-09-11 17:00:00","ETCUSD Perpetual","8h","-0.004331%"
"2022-09-11 09:00:00","ETCUSD Perpetual","8h","0.006533%"
"2022-09-11 01:00:00","ETCUSD Perpetual","8h","0.007537%"
"2022-09-10 17:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-10 09:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-10 01:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-09 17:00:00","ETCUSD Perpetual","8h","0.009661%"
"2022-09-09 09:00:00","ETCUSD Perpetual","8h","-0.004544%"
"2022-09-09 01:00:00","ETCUSD Perpetual","8h","0.008231%"
"2022-09-08 17:00:00","ETCUSD Perpetual","8h","0.005261%"
"2022-09-08 09:00:00","ETCUSD Perpetual","8h","-0.059672%"
"2022-09-08 01:00:00","ETCUSD Perpetual","8h","-0.025693%"
"2022-09-07 17:00:00","ETCUSD Perpetual","8h","-0.019702%"
"2022-09-07 09:00:00","ETCUSD Perpetual","8h","0.007968%"
"2022-09-07 01:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-06 17:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-06 09:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-06 01:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-05 17:00:00","ETCUSD Perpetual","8h","-0.003981%"
"2022-09-05 09:00:00","ETCUSD Perpetual","8h","0.000612%"
"2022-09-05 01:00:00","ETCUSD Perpetual","8h","0.001901%"
"2022-09-04 17:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-04 09:00:00","ETCUSD Perpetual","8h","-0.010424%"
"2022-09-04 01:00:00","ETCUSD Perpetual","8h","0.002602%"
"2022-09-03 17:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-09-03 09:00:00","ETCUSD Perpetual","8h","-0.002916%"
"2022-09-03 01:00:00","ETCUSD Perpetual","8h","0.007360%"
"2022-09-02 17:00:00","ETCUSD Perpetual","8h","0.008572%"
"2022-09-02 09:00:00","ETCUSD Perpetual","8h","0.006255%"
"2022-09-02 01:00:00","ETCUSD Perpetual","8h","-0.004002%"
"2022-09-01 17:00:00","ETCUSD Perpetual","8h","-0.003255%"
"2022-09-01 09:00:00","ETCUSD Perpetual","8h","-0.006308%"
"2022-09-01 01:00:00","ETCUSD Perpetual","8h","-0.026967%"
"2022-08-31 17:00:00","ETCUSD Perpetual","8h","-0.004838%"
"2022-08-31 09:00:00","ETCUSD Perpetual","8h","-0.022990%"
"2022-08-31 01:00:00","ETCUSD Perpetual","8h","-0.005325%"
"2022-08-30 17:00:00","ETCUSD Perpetual","8h","0.002016%"
"2022-08-30 09:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-08-30 01:00:00","ETCUSD Perpetual","8h","-0.033379%"
"2022-08-29 17:00:00","ETCUSD Perpetual","8h","0.005444%"
"2022-08-29 09:00:00","ETCUSD Perpetual","8h","0.000233%"
"2022-08-29 01:00:00","ETCUSD Perpetual","8h","0.007490%"
"2022-08-28 17:00:00","ETCUSD Perpetual","8h","0.005150%"
"2022-08-28 09:00:00","ETCUSD Perpetual","8h","-0.016936%"
"2022-08-28 01:00:00","ETCUSD Perpetual","8h","-0.012972%"
"2022-08-27 17:00:00","ETCUSD Perpetual","8h","-0.009842%"
"2022-08-27 09:00:00","ETCUSD Perpetual","8h","-0.006190%"
"2022-08-27 01:00:00","ETCUSD Perpetual","8h","-0.006717%"
"2022-08-26 17:00:00","ETCUSD Perpetual","8h","-0.005930%"
"2022-08-26 09:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-08-26 01:00:00","ETCUSD Perpetual","8h","0.007056%"
"2022-08-25 17:00:00","ETCUSD Perpetual","8h","0.007995%"
"2022-08-25 09:00:00","ETCUSD Perpetual","8h","0.008700%"
"2022-08-25 01:00:00","ETCUSD Perpetual","8h","0.006572%"
"2022-08-24 17:00:00","ETCUSD Perpetual","8h","0.001524%"
"2022-08-24 09:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-08-24 01:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-08-23 17:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-08-23 09:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-08-23 01:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-08-22 17:00:00","ETCUSD Perpetual","8h","0.010000%"
"2022-08-22 09:00:00","ETCUSD Perpetual","8h","0.006279%"
"2022-08-22 01:00:00","ETCUSD Perpetual","8h","0.002989%"
