"Time","Contracts","Funding Interval","Funding Rate"
"2022-09-20 09:00:00","ETHUSD Perpetual","8h","-0.005978%"
"2022-09-20 01:00:00","ETHUSD Perpetual","8h","-0.011294%"
"2022-09-19 17:00:00","ETHUSD Perpetual","8h","-0.013148%"
"2022-09-19 09:00:00","ETHUSD Perpetual","8h","-0.021313%"
"2022-09-19 01:00:00","ETHUSD Perpetual","8h","-0.005763%"
"2022-09-18 17:00:00","ETHUSD Perpetual","8h","0.001396%"
"2022-09-18 09:00:00","ETHUSD Perpetual","8h","-0.009044%"
"2022-09-18 01:00:00","ETHUSD Perpetual","8h","-0.004376%"
"2022-09-17 17:00:00","ETHUSD Perpetual","8h","-0.005056%"
"2022-09-17 09:00:00","ETHUSD Perpetual","8h","-0.007386%"
"2022-09-17 01:00:00","ETHUSD Perpetual","8h","-0.005790%"
"2022-09-16 17:00:00","ETHUSD Perpetual","8h","-0.015025%"
"2022-09-16 09:00:00","ETHUSD Perpetual","8h","-0.015903%"
"2022-09-16 01:00:00","ETHUSD Perpetual","8h","-0.030659%"
"2022-09-15 17:00:00","ETHUSD Perpetual","8h","-0.308105%"
"2022-09-15 09:00:00","ETHUSD Perpetual","8h","-0.360282%"
"2022-09-15 01:00:00","ETHUSD Perpetual","8h","-0.191813%"
"2022-09-14 17:00:00","ETHUSD Perpetual","8h","-0.183457%"
"2022-09-14 09:00:00","ETHUSD Perpetual","8h","-0.106085%"
"2022-09-14 01:00:00","ETHUSD Perpetual","8h","-0.055944%"
"2022-09-13 17:00:00","ETHUSD Perpetual","8h","-0.053056%"
"2022-09-13 09:00:00","ETHUSD Perpetual","8h","-0.042260%"
"2022-09-13 01:00:00","ETHUSD Perpetual","8h","-0.046549%"
"2022-09-12 17:00:00","ETHUSD Perpetual","8h","-0.031849%"
"2022-09-12 09:00:00","ETHUSD Perpetual","8h","-0.035704%"
"2022-09-12 01:00:00","ETHUSD Perpetual","8h","-0.034281%"
"2022-09-11 17:00:00","ETHUSD Perpetual","8h","-0.020258%"
"2022-09-11 09:00:00","ETHUSD Perpetual","8h","-0.017933%"
"2022-09-11 01:00:00","ETHUSD Perpetual","8h","-0.027108%"
"2022-09-10 17:00:00","ETHUSD Perpetual","8h","-0.022820%"
"2022-09-10 09:00:00","ETHUSD Perpetual","8h","-0.010290%"
"2022-09-10 01:00:00","ETHUSD Perpetual","8h","-0.018611%"
"2022-09-09 17:00:00","ETHUSD Perpetual","8h","-0.003325%"
"2022-09-09 09:00:00","ETHUSD Perpetual","8h","-0.014584%"
"2022-09-09 01:00:00","ETHUSD Perpetual","8h","-0.007937%"
"2022-09-08 17:00:00","ETHUSD Perpetual","8h","-0.002210%"
"2022-09-08 09:00:00","ETHUSD Perpetual","8h","-0.002959%"
"2022-09-08 01:00:00","ETHUSD Perpetual","8h","-0.016250%"
"2022-09-07 17:00:00","ETHUSD Perpetual","8h","-0.019539%"
"2022-09-07 09:00:00","ETHUSD Perpetual","8h","-0.025276%"
"2022-09-07 01:00:00","ETHUSD Perpetual","8h","-0.004109%"
"2022-09-06 17:00:00","ETHUSD Perpetual","8h","-0.005640%"
"2022-09-06 09:00:00","ETHUSD Perpetual","8h","-0.004417%"
"2022-09-06 01:00:00","ETHUSD Perpetual","8h","-0.000405%"
"2022-09-05 17:00:00","ETHUSD Perpetual","8h","-0.013148%"
