"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-04 09:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-04 01:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-03 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-03 09:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-03 01:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-02 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-02 09:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-02 01:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-01 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-01 09:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-07-01 01:00:00","FILUSD Perpetual","8h","-0.022994%"
"2022-06-30 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-30 09:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-30 01:00:00","FILUSD Perpetual","8h","0.005185%"
"2022-06-29 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-29 09:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-29 01:00:00","FILUSD Perpetual","8h","-0.000370%"
"2022-06-28 17:00:00","FILUSD Perpetual","8h","0.000248%"
"2022-06-28 09:00:00","FILUSD Perpetual","8h","-0.004239%"
"2022-06-28 01:00:00","FILUSD Perpetual","8h","0.007666%"
"2022-06-27 17:00:00","FILUSD Perpetual","8h","0.003592%"
"2022-06-27 09:00:00","FILUSD Perpetual","8h","-0.011208%"
"2022-06-27 01:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-26 17:00:00","FILUSD Perpetual","8h","-0.002862%"
"2022-06-26 09:00:00","FILUSD Perpetual","8h","-0.026292%"
"2022-06-26 01:00:00","FILUSD Perpetual","8h","-0.016479%"
"2022-06-25 17:00:00","FILUSD Perpetual","8h","-0.025673%"
"2022-06-25 09:00:00","FILUSD Perpetual","8h","-0.028931%"
"2022-06-25 01:00:00","FILUSD Perpetual","8h","-0.014035%"
"2022-06-24 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-24 09:00:00","FILUSD Perpetual","8h","-0.005358%"
"2022-06-24 01:00:00","FILUSD Perpetual","8h","0.008856%"
"2022-06-23 17:00:00","FILUSD Perpetual","8h","0.007622%"
"2022-06-23 09:00:00","FILUSD Perpetual","8h","0.007275%"
"2022-06-23 01:00:00","FILUSD Perpetual","8h","0.000507%"
"2022-06-22 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-22 09:00:00","FILUSD Perpetual","8h","-0.004739%"
"2022-06-22 01:00:00","FILUSD Perpetual","8h","-0.036090%"
"2022-06-21 17:00:00","FILUSD Perpetual","8h","0.001257%"
"2022-06-21 09:00:00","FILUSD Perpetual","8h","0.003822%"
"2022-06-21 01:00:00","FILUSD Perpetual","8h","-0.012207%"
"2022-06-20 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-20 09:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-20 01:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-19 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-19 09:00:00","FILUSD Perpetual","8h","-0.025402%"
"2022-06-19 01:00:00","FILUSD Perpetual","8h","-0.002126%"
"2022-06-18 17:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-18 09:00:00","FILUSD Perpetual","8h","0.008362%"
"2022-06-18 01:00:00","FILUSD Perpetual","8h","0.010000%"
"2022-06-17 17:00:00","FILUSD Perpetual","8h","-0.008589%"
"2022-06-17 09:00:00","FILUSD Perpetual","8h","0.002172%"
