"Time","Contracts","Funding Interval","Funding Rate"
"2022-12-24 09:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-24 01:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-23 17:00:00","FTMUSD Perpetual","8h","-0.010141%"
"2022-12-23 09:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-23 01:00:00","FTMUSD Perpetual","8h","-0.007823%"
"2022-12-22 17:00:00","FTMUSD Perpetual","8h","-0.012053%"
"2022-12-22 09:00:00","FTMUSD Perpetual","8h","-0.005200%"
"2022-12-22 01:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-21 17:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-21 09:00:00","FTMUSD Perpetual","8h","-0.002888%"
"2022-12-21 01:00:00","FTMUSD Perpetual","8h","-0.019743%"
"2022-12-20 17:00:00","FTMUSD Perpetual","8h","-0.015074%"
"2022-12-20 09:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-20 01:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-19 17:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-19 09:00:00","FTMUSD Perpetual","8h","-0.003416%"
"2022-12-19 01:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-18 17:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-18 09:00:00","FTMUSD Perpetual","8h","-0.000567%"
"2022-12-18 01:00:00","FTMUSD Perpetual","8h","0.003935%"
"2022-12-17 17:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-17 09:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-17 01:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-16 17:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-16 09:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-16 01:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-15 17:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-15 09:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-15 01:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-14 17:00:00","FTMUSD Perpetual","8h","0.010000%"
"2022-12-14 09:00:00","FTMUSD Perpetual","8h","0.010000%"
