"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-04 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-04 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-03 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-03 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-03 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-02 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-02 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-02 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-01 17:00:00","GALAUSD Perpetual","8h","0.028926%"
"2022-07-01 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-07-01 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-30 17:00:00","GALAUSD Perpetual","8h","0.010921%"
"2022-06-30 09:00:00","GALAUSD Perpetual","8h","0.017258%"
"2022-06-30 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-29 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-29 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-29 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-28 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-28 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-28 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-27 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-27 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-27 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-26 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-26 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-26 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-25 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-25 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-25 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-24 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-24 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-24 01:00:00","GALAUSD Perpetual","8h","0.014126%"
"2022-06-23 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-23 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-23 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-22 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-22 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-22 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-21 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-21 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-21 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-20 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-20 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-20 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-19 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-19 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-19 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-18 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-18 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-18 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-17 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-17 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-17 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-16 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-16 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-16 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-15 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-15 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-15 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-14 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-14 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-14 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-13 17:00:00","GALAUSD Perpetual","8h","-0.029983%"
"2022-06-13 09:00:00","GALAUSD Perpetual","8h","-0.016026%"
"2022-06-13 01:00:00","GALAUSD Perpetual","8h","-0.012288%"
"2022-06-12 17:00:00","GALAUSD Perpetual","8h","-0.036309%"
"2022-06-12 09:00:00","GALAUSD Perpetual","8h","-0.016090%"
"2022-06-12 01:00:00","GALAUSD Perpetual","8h","-0.012376%"
"2022-06-11 17:00:00","GALAUSD Perpetual","8h","0.004477%"
"2022-06-11 09:00:00","GALAUSD Perpetual","8h","-0.004775%"
"2022-06-11 01:00:00","GALAUSD Perpetual","8h","0.001016%"
"2022-06-10 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-10 09:00:00","GALAUSD Perpetual","8h","0.001306%"
"2022-06-10 01:00:00","GALAUSD Perpetual","8h","0.003317%"
"2022-06-09 17:00:00","GALAUSD Perpetual","8h","-0.000331%"
"2022-06-09 09:00:00","GALAUSD Perpetual","8h","0.001743%"
"2022-06-09 01:00:00","GALAUSD Perpetual","8h","-0.001540%"
"2022-06-08 17:00:00","GALAUSD Perpetual","8h","-0.007146%"
"2022-06-08 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-08 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-07 17:00:00","GALAUSD Perpetual","8h","0.000495%"
"2022-06-07 09:00:00","GALAUSD Perpetual","8h","0.003765%"
"2022-06-07 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-06 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-06 09:00:00","GALAUSD Perpetual","8h","-0.008293%"
"2022-06-06 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-05 17:00:00","GALAUSD Perpetual","8h","-0.001775%"
"2022-06-05 09:00:00","GALAUSD Perpetual","8h","-0.005829%"
"2022-06-05 01:00:00","GALAUSD Perpetual","8h","0.000248%"
"2022-06-04 17:00:00","GALAUSD Perpetual","8h","-0.009682%"
"2022-06-04 09:00:00","GALAUSD Perpetual","8h","-0.004336%"
"2022-06-04 01:00:00","GALAUSD Perpetual","8h","-0.007910%"
"2022-06-03 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-03 09:00:00","GALAUSD Perpetual","8h","0.001692%"
"2022-06-03 01:00:00","GALAUSD Perpetual","8h","-0.007930%"
"2022-06-02 17:00:00","GALAUSD Perpetual","8h","0.004687%"
"2022-06-02 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-02 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-01 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-01 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-06-01 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-31 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-31 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-31 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-30 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-30 09:00:00","GALAUSD Perpetual","8h","0.006741%"
"2022-05-30 01:00:00","GALAUSD Perpetual","8h","-0.001511%"
"2022-05-29 17:00:00","GALAUSD Perpetual","8h","0.002098%"
"2022-05-29 09:00:00","GALAUSD Perpetual","8h","0.001496%"
"2022-05-29 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-28 17:00:00","GALAUSD Perpetual","8h","-0.023907%"
"2022-05-28 09:00:00","GALAUSD Perpetual","8h","-0.016411%"
"2022-05-28 01:00:00","GALAUSD Perpetual","8h","-0.030338%"
"2022-05-27 17:00:00","GALAUSD Perpetual","8h","-0.030762%"
"2022-05-27 09:00:00","GALAUSD Perpetual","8h","-0.024396%"
"2022-05-27 01:00:00","GALAUSD Perpetual","8h","-0.042240%"
"2022-05-26 17:00:00","GALAUSD Perpetual","8h","0.006001%"
"2022-05-26 09:00:00","GALAUSD Perpetual","8h","-0.000446%"
"2022-05-26 01:00:00","GALAUSD Perpetual","8h","0.003354%"
"2022-05-25 17:00:00","GALAUSD Perpetual","8h","-0.001403%"
"2022-05-25 09:00:00","GALAUSD Perpetual","8h","-0.005470%"
"2022-05-25 01:00:00","GALAUSD Perpetual","8h","-0.012433%"
"2022-05-24 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-24 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-24 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-23 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-23 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-23 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-22 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-22 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-22 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-21 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-21 09:00:00","GALAUSD Perpetual","8h","0.001339%"
"2022-05-21 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-20 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-20 09:00:00","GALAUSD Perpetual","8h","0.007085%"
"2022-05-20 01:00:00","GALAUSD Perpetual","8h","-0.003560%"
"2022-05-19 17:00:00","GALAUSD Perpetual","8h","0.002405%"
"2022-05-19 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-19 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-18 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-18 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-18 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-17 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-17 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-17 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-16 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-16 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-16 01:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-15 17:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-15 09:00:00","GALAUSD Perpetual","8h","0.010000%"
"2022-05-15 01:00:00","GALAUSD Perpetual","8h","0.010000%"
