"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","GMTUSD Perpetual","8h","-0.032883%"
"2022-07-04 09:00:00","GMTUSD Perpetual","8h","-0.012045%"
"2022-07-04 01:00:00","GMTUSD Perpetual","8h","-0.017559%"
"2022-07-03 17:00:00","GMTUSD Perpetual","8h","-0.016216%"
"2022-07-03 09:00:00","GMTUSD Perpetual","8h","-0.016784%"
"2022-07-03 01:00:00","GMTUSD Perpetual","8h","-0.014502%"
"2022-07-02 17:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-07-02 09:00:00","GMTUSD Perpetual","8h","-0.013915%"
"2022-07-02 01:00:00","GMTUSD Perpetual","8h","-0.027829%"
"2022-07-01 17:00:00","GMTUSD Perpetual","8h","-0.008385%"
"2022-07-01 09:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-07-01 01:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-30 17:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-30 09:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-30 01:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-29 17:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-29 09:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-29 01:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-28 17:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-28 09:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-28 01:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-27 17:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-27 09:00:00","GMTUSD Perpetual","8h","-0.007238%"
"2022-06-27 01:00:00","GMTUSD Perpetual","8h","-0.010661%"
"2022-06-26 17:00:00","GMTUSD Perpetual","8h","-0.042604%"
"2022-06-26 09:00:00","GMTUSD Perpetual","8h","-0.019381%"
"2022-06-26 01:00:00","GMTUSD Perpetual","8h","-0.044393%"
"2022-06-25 17:00:00","GMTUSD Perpetual","8h","-0.037194%"
"2022-06-25 09:00:00","GMTUSD Perpetual","8h","0.001773%"
"2022-06-25 01:00:00","GMTUSD Perpetual","8h","-0.013997%"
"2022-06-24 17:00:00","GMTUSD Perpetual","8h","-0.011947%"
"2022-06-24 09:00:00","GMTUSD Perpetual","8h","0.002370%"
"2022-06-24 01:00:00","GMTUSD Perpetual","8h","-0.018874%"
"2022-06-23 17:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-23 09:00:00","GMTUSD Perpetual","8h","-0.024815%"
"2022-06-23 01:00:00","GMTUSD Perpetual","8h","-0.002509%"
"2022-06-22 17:00:00","GMTUSD Perpetual","8h","-0.044074%"
"2022-06-22 09:00:00","GMTUSD Perpetual","8h","-0.011491%"
"2022-06-22 01:00:00","GMTUSD Perpetual","8h","-0.040594%"
"2022-06-21 17:00:00","GMTUSD Perpetual","8h","-0.037506%"
"2022-06-21 09:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-21 01:00:00","GMTUSD Perpetual","8h","-0.025623%"
"2022-06-20 17:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-20 09:00:00","GMTUSD Perpetual","8h","0.004489%"
"2022-06-20 01:00:00","GMTUSD Perpetual","8h","-0.011150%"
"2022-06-19 17:00:00","GMTUSD Perpetual","8h","-0.014257%"
"2022-06-19 09:00:00","GMTUSD Perpetual","8h","0.007595%"
"2022-06-19 01:00:00","GMTUSD Perpetual","8h","-0.004363%"
"2022-06-18 17:00:00","GMTUSD Perpetual","8h","-0.055598%"
"2022-06-18 09:00:00","GMTUSD Perpetual","8h","-0.002906%"
"2022-06-18 01:00:00","GMTUSD Perpetual","8h","0.010000%"
"2022-06-17 17:00:00","GMTUSD Perpetual","8h","0.008777%"
"2022-06-17 09:00:00","GMTUSD Perpetual","8h","-0.059033%"
"2022-06-17 01:00:00","GMTUSD Perpetual","8h","-0.021048%"
"2022-06-16 17:00:00","GMTUSD Perpetual","8h","-0.092264%"
"2022-06-16 09:00:00","GMTUSD Perpetual","8h","-0.006583%"
"2022-06-16 01:00:00","GMTUSD Perpetual","8h","-0.003973%"
"2022-06-15 17:00:00","GMTUSD Perpetual","8h","-0.099413%"
"2022-06-15 09:00:00","GMTUSD Perpetual","8h","-0.054098%"
"2022-06-15 01:00:00","GMTUSD Perpetual","8h","-0.066913%"
"2022-06-14 17:00:00","GMTUSD Perpetual","8h","-0.052778%"
"2022-06-14 09:00:00","GMTUSD Perpetual","8h","-0.224116%"
"2022-06-14 01:00:00","GMTUSD Perpetual","8h","-0.141385%"
"2022-06-13 17:00:00","GMTUSD Perpetual","8h","-0.099469%"
"2022-06-13 09:00:00","GMTUSD Perpetual","8h","-0.081884%"
"2022-06-13 01:00:00","GMTUSD Perpetual","8h","-0.048271%"
"2022-06-12 17:00:00","GMTUSD Perpetual","8h","-0.071698%"
