"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","LTCUSD Perpetual","8h","-0.000665%"
"2022-07-04 09:00:00","LTCUSD Perpetual","8h","0.004407%"
"2022-07-04 01:00:00","LTCUSD Perpetual","8h","0.010000%"
"2022-07-03 17:00:00","LTCUSD Perpetual","8h","0.003048%"
"2022-07-03 09:00:00","LTCUSD Perpetual","8h","0.001529%"
"2022-07-03 01:00:00","LTCUSD Perpetual","8h","0.010000%"
"2022-07-02 17:00:00","LTCUSD Perpetual","8h","0.010000%"
"2022-07-02 09:00:00","LTCUSD Perpetual","8h","-0.002435%"
"2022-07-02 01:00:00","LTCUSD Perpetual","8h","-0.002959%"
"2022-07-01 17:00:00","LTCUSD Perpetual","8h","0.010000%"
"2022-07-01 09:00:00","LTCUSD Perpetual","8h","-0.008385%"
"2022-07-01 01:00:00","LTCUSD Perpetual","8h","-0.019289%"
"2022-06-30 17:00:00","LTCUSD Perpetual","8h","-0.014592%"
"2022-06-30 09:00:00","LTCUSD Perpetual","8h","-0.007256%"
"2022-06-30 01:00:00","LTCUSD Perpetual","8h","-0.005941%"
"2022-06-29 17:00:00","LTCUSD Perpetual","8h","0.007796%"
"2022-06-29 09:00:00","LTCUSD Perpetual","8h","-0.007378%"
"2022-06-29 01:00:00","LTCUSD Perpetual","8h","0.010000%"
"2022-06-28 17:00:00","LTCUSD Perpetual","8h","-0.001516%"
"2022-06-28 09:00:00","LTCUSD Perpetual","8h","-0.006902%"
"2022-06-28 01:00:00","LTCUSD Perpetual","8h","0.007193%"
"2022-06-27 17:00:00","LTCUSD Perpetual","8h","0.004432%"
"2022-06-27 09:00:00","LTCUSD Perpetual","8h","-0.009576%"
"2022-06-27 01:00:00","LTCUSD Perpetual","8h","0.010000%"
"2022-06-26 17:00:00","LTCUSD Perpetual","8h","-0.008380%"
"2022-06-26 09:00:00","LTCUSD Perpetual","8h","-0.000684%"
"2022-06-26 01:00:00","LTCUSD Perpetual","8h","-0.011316%"
"2022-06-25 17:00:00","LTCUSD Perpetual","8h","0.005477%"
"2022-06-25 09:00:00","LTCUSD Perpetual","8h","0.002722%"
"2022-06-25 01:00:00","LTCUSD Perpetual","8h","0.005053%"
"2022-06-24 17:00:00","LTCUSD Perpetual","8h","-0.008457%"
"2022-06-24 09:00:00","LTCUSD Perpetual","8h","0.000599%"
"2022-06-24 01:00:00","LTCUSD Perpetual","8h","-0.000707%"
"2022-06-23 17:00:00","LTCUSD Perpetual","8h","0.008579%"
"2022-06-23 09:00:00","LTCUSD Perpetual","8h","-0.002220%"
"2022-06-23 01:00:00","LTCUSD Perpetual","8h","-0.018481%"
"2022-06-22 17:00:00","LTCUSD Perpetual","8h","-0.001436%"
"2022-06-22 09:00:00","LTCUSD Perpetual","8h","-0.022144%"
"2022-06-22 01:00:00","LTCUSD Perpetual","8h","-0.029625%"
"2022-06-21 17:00:00","LTCUSD Perpetual","8h","-0.025290%"
"2022-06-21 09:00:00","LTCUSD Perpetual","8h","-0.023137%"
"2022-06-21 01:00:00","LTCUSD Perpetual","8h","-0.015898%"
"2022-06-20 17:00:00","LTCUSD Perpetual","8h","-0.001081%"
"2022-06-20 09:00:00","LTCUSD Perpetual","8h","0.002763%"
"2022-06-20 01:00:00","LTCUSD Perpetual","8h","-0.008864%"
"2022-06-19 17:00:00","LTCUSD Perpetual","8h","-0.002957%"
"2022-06-19 09:00:00","LTCUSD Perpetual","8h","-0.009807%"
"2022-06-19 01:00:00","LTCUSD Perpetual","8h","-0.013476%"
"2022-06-18 17:00:00","LTCUSD Perpetual","8h","-0.040005%"
