"Time","Contracts","Funding Interval","Funding Rate"
"2022-12-24 09:00:00","MANAUSD Perpetual","8h","-0.095570%"
"2022-12-24 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-23 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-23 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-23 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-22 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-22 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-22 01:00:00","MANAUSD Perpetual","8h","-0.010098%"
"2022-12-21 17:00:00","MANAUSD Perpetual","8h","0.004718%"
"2022-12-21 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-21 01:00:00","MANAUSD Perpetual","8h","0.004553%"
"2022-12-20 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-20 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-20 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-19 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-19 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-19 01:00:00","MANAUSD Perpetual","8h","-0.096628%"
"2022-12-18 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-18 09:00:00","MANAUSD Perpetual","8h","-0.000409%"
"2022-12-18 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-17 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-17 09:00:00","MANAUSD Perpetual","8h","-0.008302%"
"2022-12-17 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-16 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-16 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-16 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-15 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-15 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-15 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-14 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-14 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-14 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-13 17:00:00","MANAUSD Perpetual","8h","0.004844%"
"2022-12-13 09:00:00","MANAUSD Perpetual","8h","0.009948%"
"2022-12-13 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-12 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-12 09:00:00","MANAUSD Perpetual","8h","0.003537%"
"2022-12-12 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-11 17:00:00","MANAUSD Perpetual","8h","-0.012091%"
"2022-12-11 09:00:00","MANAUSD Perpetual","8h","-0.003096%"
"2022-12-11 01:00:00","MANAUSD Perpetual","8h","0.009443%"
"2022-12-10 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-10 09:00:00","MANAUSD Perpetual","8h","-0.008771%"
"2022-12-10 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-09 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-09 09:00:00","MANAUSD Perpetual","8h","0.005653%"
"2022-12-09 01:00:00","MANAUSD Perpetual","8h","0.009125%"
"2022-12-08 17:00:00","MANAUSD Perpetual","8h","-0.001960%"
"2022-12-08 09:00:00","MANAUSD Perpetual","8h","-0.007379%"
"2022-12-08 01:00:00","MANAUSD Perpetual","8h","-0.001386%"
"2022-12-07 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-07 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-07 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-06 17:00:00","MANAUSD Perpetual","8h","-0.013970%"
"2022-12-06 09:00:00","MANAUSD Perpetual","8h","0.007661%"
"2022-12-06 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-05 17:00:00","MANAUSD Perpetual","8h","-0.016732%"
"2022-12-05 09:00:00","MANAUSD Perpetual","8h","-0.013430%"
"2022-12-05 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-04 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-04 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-04 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-03 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-03 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-03 01:00:00","MANAUSD Perpetual","8h","0.003010%"
"2022-12-02 17:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-02 09:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-02 01:00:00","MANAUSD Perpetual","8h","0.010000%"
"2022-12-01 17:00:00","MANAUSD Perpetual","8h","0.010000%"
