"Time","Contracts","Funding Interval","Funding Rate"
"2022-12-24 09:00:00","MATICUSD Perpetual","8h","0.000662%"
"2022-12-24 01:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-23 17:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-23 09:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-23 01:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-22 17:00:00","MATICUSD Perpetual","8h","0.007483%"
"2022-12-22 09:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-22 01:00:00","MATICUSD Perpetual","8h","0.006603%"
"2022-12-21 17:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-21 09:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-21 01:00:00","MATICUSD Perpetual","8h","-0.002362%"
"2022-12-20 17:00:00","MATICUSD Perpetual","8h","0.000765%"
"2022-12-20 09:00:00","MATICUSD Perpetual","8h","0.004466%"
"2022-12-20 01:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-19 17:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-19 09:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-19 01:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-18 17:00:00","MATICUSD Perpetual","8h","0.005713%"
"2022-12-18 09:00:00","MATICUSD Perpetual","8h","0.001220%"
"2022-12-18 01:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-17 17:00:00","MATICUSD Perpetual","8h","-0.000294%"
"2022-12-17 09:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-17 01:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-16 17:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-16 09:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-16 01:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-15 17:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-15 09:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-15 01:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-14 17:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-14 09:00:00","MATICUSD Perpetual","8h","0.010000%"
"2022-12-14 01:00:00","MATICUSD Perpetual","8h","-0.013996%"
