"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","NEARUSD Perpetual","8h","0.003743%"
"2022-07-04 09:00:00","NEARUSD Perpetual","8h","-0.000073%"
"2022-07-04 01:00:00","NEARUSD Perpetual","8h","-0.009889%"
"2022-07-03 17:00:00","NEARUSD Perpetual","8h","-0.018943%"
"2022-07-03 09:00:00","NEARUSD Perpetual","8h","-0.011118%"
"2022-07-03 01:00:00","NEARUSD Perpetual","8h","-0.000624%"
"2022-07-02 17:00:00","NEARUSD Perpetual","8h","0.004049%"
"2022-07-02 09:00:00","NEARUSD Perpetual","8h","-0.007870%"
"2022-07-02 01:00:00","NEARUSD Perpetual","8h","-0.015503%"
"2022-07-01 17:00:00","NEARUSD Perpetual","8h","-0.015134%"
"2022-07-01 09:00:00","NEARUSD Perpetual","8h","0.001116%"
"2022-07-01 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-30 17:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-30 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-30 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-29 17:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-29 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-29 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-28 17:00:00","NEARUSD Perpetual","8h","0.005906%"
"2022-06-28 09:00:00","NEARUSD Perpetual","8h","-0.004375%"
"2022-06-28 01:00:00","NEARUSD Perpetual","8h","0.000741%"
"2022-06-27 17:00:00","NEARUSD Perpetual","8h","-0.025276%"
"2022-06-27 09:00:00","NEARUSD Perpetual","8h","-0.032845%"
"2022-06-27 01:00:00","NEARUSD Perpetual","8h","-0.031136%"
"2022-06-26 17:00:00","NEARUSD Perpetual","8h","-0.023953%"
"2022-06-26 09:00:00","NEARUSD Perpetual","8h","-0.025587%"
"2022-06-26 01:00:00","NEARUSD Perpetual","8h","-0.009587%"
"2022-06-25 17:00:00","NEARUSD Perpetual","8h","-0.012545%"
"2022-06-25 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-25 01:00:00","NEARUSD Perpetual","8h","0.002848%"
"2022-06-24 17:00:00","NEARUSD Perpetual","8h","-0.006055%"
"2022-06-24 09:00:00","NEARUSD Perpetual","8h","-0.037701%"
"2022-06-24 01:00:00","NEARUSD Perpetual","8h","-0.007542%"
"2022-06-23 17:00:00","NEARUSD Perpetual","8h","-0.008483%"
"2022-06-23 09:00:00","NEARUSD Perpetual","8h","-0.005081%"
"2022-06-23 01:00:00","NEARUSD Perpetual","8h","-0.013248%"
"2022-06-22 17:00:00","NEARUSD Perpetual","8h","0.000835%"
"2022-06-22 09:00:00","NEARUSD Perpetual","8h","-0.008303%"
"2022-06-22 01:00:00","NEARUSD Perpetual","8h","-0.025113%"
"2022-06-21 17:00:00","NEARUSD Perpetual","8h","0.000177%"
"2022-06-21 09:00:00","NEARUSD Perpetual","8h","0.008497%"
"2022-06-21 01:00:00","NEARUSD Perpetual","8h","-0.015489%"
"2022-06-20 17:00:00","NEARUSD Perpetual","8h","-0.056001%"
"2022-06-20 09:00:00","NEARUSD Perpetual","8h","-0.037651%"
"2022-06-20 01:00:00","NEARUSD Perpetual","8h","-0.025729%"
"2022-06-19 17:00:00","NEARUSD Perpetual","8h","-0.020184%"
"2022-06-19 09:00:00","NEARUSD Perpetual","8h","-0.092220%"
"2022-06-19 01:00:00","NEARUSD Perpetual","8h","-0.071403%"
"2022-06-18 17:00:00","NEARUSD Perpetual","8h","-0.096096%"
"2022-06-18 09:00:00","NEARUSD Perpetual","8h","-0.068181%"
"2022-06-18 01:00:00","NEARUSD Perpetual","8h","-0.095485%"
"2022-06-17 17:00:00","NEARUSD Perpetual","8h","-0.092451%"
"2022-06-17 09:00:00","NEARUSD Perpetual","8h","-0.033057%"
"2022-06-17 01:00:00","NEARUSD Perpetual","8h","-0.034430%"
"2022-06-16 17:00:00","NEARUSD Perpetual","8h","-0.016015%"
"2022-06-16 09:00:00","NEARUSD Perpetual","8h","-0.026767%"
"2022-06-16 01:00:00","NEARUSD Perpetual","8h","-0.042144%"
"2022-06-15 17:00:00","NEARUSD Perpetual","8h","-0.047315%"
"2022-06-15 09:00:00","NEARUSD Perpetual","8h","-0.019162%"
"2022-06-15 01:00:00","NEARUSD Perpetual","8h","-0.003556%"
"2022-06-14 17:00:00","NEARUSD Perpetual","8h","-0.032232%"
"2022-06-14 09:00:00","NEARUSD Perpetual","8h","-0.047379%"
"2022-06-14 01:00:00","NEARUSD Perpetual","8h","-0.061802%"
"2022-06-13 17:00:00","NEARUSD Perpetual","8h","-0.060577%"
"2022-06-13 09:00:00","NEARUSD Perpetual","8h","-0.008792%"
"2022-06-13 01:00:00","NEARUSD Perpetual","8h","-0.013681%"
"2022-06-12 17:00:00","NEARUSD Perpetual","8h","-0.043030%"
"2022-06-12 09:00:00","NEARUSD Perpetual","8h","-0.023114%"
"2022-06-12 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-11 17:00:00","NEARUSD Perpetual","8h","0.002843%"
"2022-06-11 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-11 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-10 17:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-10 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-10 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-09 17:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-09 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-09 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-08 17:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-08 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-08 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-07 17:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-07 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-07 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-06 17:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-06 09:00:00","NEARUSD Perpetual","8h","-0.007981%"
"2022-06-06 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-05 17:00:00","NEARUSD Perpetual","8h","0.004701%"
"2022-06-05 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-05 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-04 17:00:00","NEARUSD Perpetual","8h","0.006222%"
"2022-06-04 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-04 01:00:00","NEARUSD Perpetual","8h","0.007690%"
"2022-06-03 17:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-03 09:00:00","NEARUSD Perpetual","8h","-0.015387%"
"2022-06-03 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-02 17:00:00","NEARUSD Perpetual","8h","-0.095287%"
"2022-06-02 09:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-02 01:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-01 17:00:00","NEARUSD Perpetual","8h","0.010000%"
"2022-06-01 09:00:00","NEARUSD Perpetual","8h","0.005929%"
"2022-06-01 01:00:00","NEARUSD Perpetual","8h","0.009614%"
"2022-05-31 17:00:00","NEARUSD Perpetual","8h","0.004406%"
