"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","SOLUSD Perpetual","8h","-0.017411%"
"2022-07-04 09:00:00","SOLUSD Perpetual","8h","-0.009585%"
"2022-07-04 01:00:00","SOLUSD Perpetual","8h","-0.006390%"
"2022-07-03 17:00:00","SOLUSD Perpetual","8h","-0.006945%"
"2022-07-03 09:00:00","SOLUSD Perpetual","8h","-0.017407%"
"2022-07-03 01:00:00","SOLUSD Perpetual","8h","-0.021725%"
"2022-07-02 17:00:00","SOLUSD Perpetual","8h","-0.023132%"
"2022-07-02 09:00:00","SOLUSD Perpetual","8h","-0.030409%"
"2022-07-02 01:00:00","SOLUSD Perpetual","8h","-0.013878%"
"2022-07-01 17:00:00","SOLUSD Perpetual","8h","-0.007536%"
"2022-07-01 09:00:00","SOLUSD Perpetual","8h","-0.018462%"
"2022-07-01 01:00:00","SOLUSD Perpetual","8h","-0.029676%"
"2022-06-30 17:00:00","SOLUSD Perpetual","8h","-0.021363%"
"2022-06-30 09:00:00","SOLUSD Perpetual","8h","-0.019122%"
"2022-06-30 01:00:00","SOLUSD Perpetual","8h","-0.011764%"
"2022-06-29 17:00:00","SOLUSD Perpetual","8h","-0.011536%"
"2022-06-29 09:00:00","SOLUSD Perpetual","8h","0.000383%"
"2022-06-29 01:00:00","SOLUSD Perpetual","8h","-0.015901%"
"2022-06-28 17:00:00","SOLUSD Perpetual","8h","-0.017607%"
"2022-06-28 09:00:00","SOLUSD Perpetual","8h","0.001598%"
"2022-06-28 01:00:00","SOLUSD Perpetual","8h","-0.015759%"
"2022-06-27 17:00:00","SOLUSD Perpetual","8h","-0.031056%"
"2022-06-27 09:00:00","SOLUSD Perpetual","8h","-0.036861%"
"2022-06-27 01:00:00","SOLUSD Perpetual","8h","-0.005284%"
"2022-06-26 17:00:00","SOLUSD Perpetual","8h","-0.007447%"
"2022-06-26 09:00:00","SOLUSD Perpetual","8h","-0.004349%"
"2022-06-26 01:00:00","SOLUSD Perpetual","8h","-0.012431%"
"2022-06-25 17:00:00","SOLUSD Perpetual","8h","-0.017382%"
"2022-06-25 09:00:00","SOLUSD Perpetual","8h","-0.006849%"
"2022-06-25 01:00:00","SOLUSD Perpetual","8h","-0.025327%"
"2022-06-24 17:00:00","SOLUSD Perpetual","8h","-0.012158%"
"2022-06-24 09:00:00","SOLUSD Perpetual","8h","-0.031279%"
"2022-06-24 01:00:00","SOLUSD Perpetual","8h","-0.034944%"
"2022-06-23 17:00:00","SOLUSD Perpetual","8h","-0.017228%"
"2022-06-23 09:00:00","SOLUSD Perpetual","8h","-0.012605%"
"2022-06-23 01:00:00","SOLUSD Perpetual","8h","-0.024971%"
"2022-06-22 17:00:00","SOLUSD Perpetual","8h","-0.018832%"
"2022-06-22 09:00:00","SOLUSD Perpetual","8h","-0.040174%"
"2022-06-22 01:00:00","SOLUSD Perpetual","8h","-0.054243%"
"2022-06-21 17:00:00","SOLUSD Perpetual","8h","-0.053150%"
"2022-06-21 09:00:00","SOLUSD Perpetual","8h","-0.026177%"
"2022-06-21 01:00:00","SOLUSD Perpetual","8h","-0.018141%"
"2022-06-20 17:00:00","SOLUSD Perpetual","8h","-0.016446%"
"2022-06-20 09:00:00","SOLUSD Perpetual","8h","-0.003717%"
"2022-06-20 01:00:00","SOLUSD Perpetual","8h","-0.015441%"
"2022-06-19 17:00:00","SOLUSD Perpetual","8h","-0.005556%"
"2022-06-19 09:00:00","SOLUSD Perpetual","8h","-0.033612%"
"2022-06-19 01:00:00","SOLUSD Perpetual","8h","-0.071767%"
"2022-06-18 17:00:00","SOLUSD Perpetual","8h","-0.034910%"
"2022-06-18 09:00:00","SOLUSD Perpetual","8h","-0.004939%"
"2022-06-18 01:00:00","SOLUSD Perpetual","8h","-0.036676%"
"2022-06-17 17:00:00","SOLUSD Perpetual","8h","-0.041218%"
"2022-06-17 09:00:00","SOLUSD Perpetual","8h","-0.030018%"
"2022-06-17 01:00:00","SOLUSD Perpetual","8h","-0.023958%"
"2022-06-16 17:00:00","SOLUSD Perpetual","8h","-0.012950%"
"2022-06-16 09:00:00","SOLUSD Perpetual","8h","-0.023531%"
"2022-06-16 01:00:00","SOLUSD Perpetual","8h","-0.023436%"
"2022-06-15 17:00:00","SOLUSD Perpetual","8h","-0.008697%"
"2022-06-15 09:00:00","SOLUSD Perpetual","8h","-0.020899%"
