"Time","Contracts","Funding Interval","Funding Rate"
"2022-09-20 09:00:00","TRXUSD Perpetual","8h","-0.020534%"
"2022-09-20 01:00:00","TRXUSD Perpetual","8h","-0.022909%"
"2022-09-19 17:00:00","TRXUSD Perpetual","8h","-0.043000%"
"2022-09-19 09:00:00","TRXUSD Perpetual","8h","-0.017840%"
"2022-09-19 01:00:00","TRXUSD Perpetual","8h","-0.013977%"
"2022-09-18 17:00:00","TRXUSD Perpetual","8h","-0.009283%"
"2022-09-18 09:00:00","TRXUSD Perpetual","8h","-0.019963%"
"2022-09-18 01:00:00","TRXUSD Perpetual","8h","-0.016688%"
"2022-09-17 17:00:00","TRXUSD Perpetual","8h","-0.019951%"
"2022-09-17 09:00:00","TRXUSD Perpetual","8h","-0.006168%"
"2022-09-17 01:00:00","TRXUSD Perpetual","8h","-0.014744%"
"2022-09-16 17:00:00","TRXUSD Perpetual","8h","-0.023825%"
"2022-09-16 09:00:00","TRXUSD Perpetual","8h","-0.021089%"
"2022-09-16 01:00:00","TRXUSD Perpetual","8h","-0.027640%"
"2022-09-15 17:00:00","TRXUSD Perpetual","8h","-0.024556%"
"2022-09-15 09:00:00","TRXUSD Perpetual","8h","-0.026287%"
"2022-09-15 01:00:00","TRXUSD Perpetual","8h","-0.033802%"
"2022-09-14 17:00:00","TRXUSD Perpetual","8h","-0.029504%"
"2022-09-14 09:00:00","TRXUSD Perpetual","8h","-0.044191%"
"2022-09-14 01:00:00","TRXUSD Perpetual","8h","-0.035523%"
"2022-09-13 17:00:00","TRXUSD Perpetual","8h","-0.002257%"
"2022-09-13 09:00:00","TRXUSD Perpetual","8h","-0.009538%"
"2022-09-13 01:00:00","TRXUSD Perpetual","8h","-0.004049%"
"2022-09-12 17:00:00","TRXUSD Perpetual","8h","-0.008098%"
"2022-09-12 09:00:00","TRXUSD Perpetual","8h","-0.001016%"
"2022-09-12 01:00:00","TRXUSD Perpetual","8h","-0.008026%"
"2022-09-11 17:00:00","TRXUSD Perpetual","8h","0.001308%"
"2022-09-11 09:00:00","TRXUSD Perpetual","8h","0.007562%"
"2022-09-11 01:00:00","TRXUSD Perpetual","8h","-0.004028%"
"2022-09-10 17:00:00","TRXUSD Perpetual","8h","-0.010470%"
"2022-09-10 09:00:00","TRXUSD Perpetual","8h","0.003368%"
"2022-09-10 01:00:00","TRXUSD Perpetual","8h","-0.002121%"
"2022-09-09 17:00:00","TRXUSD Perpetual","8h","-0.006581%"
"2022-09-09 09:00:00","TRXUSD Perpetual","8h","-0.022119%"
"2022-09-09 01:00:00","TRXUSD Perpetual","8h","-0.011161%"
"2022-09-08 17:00:00","TRXUSD Perpetual","8h","0.003287%"
"2022-09-08 09:00:00","TRXUSD Perpetual","8h","-0.019012%"
"2022-09-08 01:00:00","TRXUSD Perpetual","8h","-0.011399%"
"2022-09-07 17:00:00","TRXUSD Perpetual","8h","-0.034464%"
"2022-09-07 09:00:00","TRXUSD Perpetual","8h","-0.037202%"
"2022-09-07 01:00:00","TRXUSD Perpetual","8h","0.010000%"
"2022-09-06 17:00:00","TRXUSD Perpetual","8h","0.006734%"
"2022-09-06 09:00:00","TRXUSD Perpetual","8h","-0.003976%"
"2022-09-06 01:00:00","TRXUSD Perpetual","8h","0.007444%"
"2022-09-05 17:00:00","TRXUSD Perpetual","8h","-0.003815%"
"2022-09-05 09:00:00","TRXUSD Perpetual","8h","-0.002486%"
"2022-09-05 01:00:00","TRXUSD Perpetual","8h","0.003971%"
"2022-09-04 17:00:00","TRXUSD Perpetual","8h","0.000802%"
"2022-09-04 09:00:00","TRXUSD Perpetual","8h","0.004371%"
"2022-09-04 01:00:00","TRXUSD Perpetual","8h","-0.008523%"
"2022-09-03 17:00:00","TRXUSD Perpetual","8h","-0.008064%"
"2022-09-03 09:00:00","TRXUSD Perpetual","8h","-0.019101%"
"2022-09-03 01:00:00","TRXUSD Perpetual","8h","-0.008570%"
"2022-09-02 17:00:00","TRXUSD Perpetual","8h","-0.003765%"
"2022-09-02 09:00:00","TRXUSD Perpetual","8h","-0.004450%"
"2022-09-02 01:00:00","TRXUSD Perpetual","8h","-0.014045%"
"2022-09-01 17:00:00","TRXUSD Perpetual","8h","-0.005696%"
"2022-09-01 09:00:00","TRXUSD Perpetual","8h","-0.021312%"
"2022-09-01 01:00:00","TRXUSD Perpetual","8h","-0.004201%"
"2022-08-31 17:00:00","TRXUSD Perpetual","8h","0.005187%"
"2022-08-31 09:00:00","TRXUSD Perpetual","8h","-0.006315%"
"2022-08-31 01:00:00","TRXUSD Perpetual","8h","-0.003553%"
"2022-08-30 17:00:00","TRXUSD Perpetual","8h","-0.004233%"
"2022-08-30 09:00:00","TRXUSD Perpetual","8h","-0.021762%"
"2022-08-30 01:00:00","TRXUSD Perpetual","8h","0.005562%"
"2022-08-29 17:00:00","TRXUSD Perpetual","8h","-0.014048%"
"2022-08-29 09:00:00","TRXUSD Perpetual","8h","-0.037789%"
"2022-08-29 01:00:00","TRXUSD Perpetual","8h","-0.016600%"
"2022-08-28 17:00:00","TRXUSD Perpetual","8h","-0.021502%"
"2022-08-28 09:00:00","TRXUSD Perpetual","8h","-0.001814%"
"2022-08-28 01:00:00","TRXUSD Perpetual","8h","-0.018006%"
"2022-08-27 17:00:00","TRXUSD Perpetual","8h","-0.011086%"
"2022-08-27 09:00:00","TRXUSD Perpetual","8h","-0.038134%"
"2022-08-27 01:00:00","TRXUSD Perpetual","8h","-0.012662%"
"2022-08-26 17:00:00","TRXUSD Perpetual","8h","-0.008124%"
"2022-08-26 09:00:00","TRXUSD Perpetual","8h","0.001555%"
"2022-08-26 01:00:00","TRXUSD Perpetual","8h","-0.025184%"
"2022-08-25 17:00:00","TRXUSD Perpetual","8h","0.002490%"
"2022-08-25 09:00:00","TRXUSD Perpetual","8h","-0.022171%"
"2022-08-25 01:00:00","TRXUSD Perpetual","8h","-0.000518%"
"2022-08-24 17:00:00","TRXUSD Perpetual","8h","-0.004880%"
"2022-08-24 09:00:00","TRXUSD Perpetual","8h","-0.013783%"
"2022-08-24 01:00:00","TRXUSD Perpetual","8h","-0.002372%"
"2022-08-23 17:00:00","TRXUSD Perpetual","8h","0.004517%"
"2022-08-23 09:00:00","TRXUSD Perpetual","8h","-0.001889%"
"2022-08-23 01:00:00","TRXUSD Perpetual","8h","-0.017268%"
"2022-08-22 17:00:00","TRXUSD Perpetual","8h","-0.008976%"
"2022-08-22 09:00:00","TRXUSD Perpetual","8h","-0.000487%"
"2022-08-22 01:00:00","TRXUSD Perpetual","8h","-0.022244%"
"2022-08-21 17:00:00","TRXUSD Perpetual","8h","-0.016363%"
"2022-08-21 09:00:00","TRXUSD Perpetual","8h","-0.004204%"
"2022-08-21 01:00:00","TRXUSD Perpetual","8h","-0.032776%"
"2022-08-20 17:00:00","TRXUSD Perpetual","8h","-0.018701%"
"2022-08-20 09:00:00","TRXUSD Perpetual","8h","-0.024532%"
"2022-08-20 01:00:00","TRXUSD Perpetual","8h","-0.022437%"
"2022-08-19 17:00:00","TRXUSD Perpetual","8h","-0.044413%"
"2022-08-19 09:00:00","TRXUSD Perpetual","8h","-0.024986%"
"2022-08-19 01:00:00","TRXUSD Perpetual","8h","-0.029280%"
"2022-08-18 17:00:00","TRXUSD Perpetual","8h","-0.016326%"
"2022-08-18 09:00:00","TRXUSD Perpetual","8h","-0.018972%"
"2022-08-18 01:00:00","TRXUSD Perpetual","8h","-0.001826%"
"2022-08-17 17:00:00","TRXUSD Perpetual","8h","-0.025205%"
"2022-08-17 09:00:00","TRXUSD Perpetual","8h","-0.019310%"
"2022-08-17 01:00:00","TRXUSD Perpetual","8h","-0.026184%"
"2022-08-16 17:00:00","TRXUSD Perpetual","8h","-0.020009%"
"2022-08-16 09:00:00","TRXUSD Perpetual","8h","-0.017357%"
"2022-08-16 01:00:00","TRXUSD Perpetual","8h","-0.017472%"
