"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-04 09:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-04 01:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-03 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-03 09:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-03 01:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-02 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-02 09:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-02 01:00:00","VETUSD Perpetual","8h","-0.006836%"
"2022-07-01 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-01 09:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-07-01 01:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-30 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-30 09:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-30 01:00:00","VETUSD Perpetual","8h","-0.002398%"
"2022-06-29 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-29 09:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-29 01:00:00","VETUSD Perpetual","8h","0.006593%"
"2022-06-28 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-28 09:00:00","VETUSD Perpetual","8h","-0.002025%"
"2022-06-28 01:00:00","VETUSD Perpetual","8h","0.003944%"
"2022-06-27 17:00:00","VETUSD Perpetual","8h","-0.000330%"
"2022-06-27 09:00:00","VETUSD Perpetual","8h","0.000574%"
"2022-06-27 01:00:00","VETUSD Perpetual","8h","-0.015574%"
"2022-06-26 17:00:00","VETUSD Perpetual","8h","-0.009370%"
"2022-06-26 09:00:00","VETUSD Perpetual","8h","-0.039925%"
"2022-06-26 01:00:00","VETUSD Perpetual","8h","-0.054483%"
"2022-06-25 17:00:00","VETUSD Perpetual","8h","-0.019991%"
"2022-06-25 09:00:00","VETUSD Perpetual","8h","-0.012435%"
"2022-06-25 01:00:00","VETUSD Perpetual","8h","-0.055490%"
"2022-06-24 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-24 09:00:00","VETUSD Perpetual","8h","-0.009813%"
"2022-06-24 01:00:00","VETUSD Perpetual","8h","-0.042508%"
"2022-06-23 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-23 09:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-23 01:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-22 17:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-22 09:00:00","VETUSD Perpetual","8h","-0.024355%"
"2022-06-22 01:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-21 17:00:00","VETUSD Perpetual","8h","0.008541%"
"2022-06-21 09:00:00","VETUSD Perpetual","8h","0.010000%"
"2022-06-21 01:00:00","VETUSD Perpetual","8h","0.009238%"
"2022-06-20 17:00:00","VETUSD Perpetual","8h","0.010000%"
