"Time","Contracts","Funding Interval","Funding Rate"
"2022-07-04 17:00:00","XLMUSD Perpetual","8h","-0.009550%"
"2022-07-04 09:00:00","XLMUSD Perpetual","8h","-0.014226%"
"2022-07-04 01:00:00","XLMUSD Perpetual","8h","-0.020390%"
"2022-07-03 17:00:00","XLMUSD Perpetual","8h","-0.011143%"
"2022-07-03 09:00:00","XLMUSD Perpetual","8h","-0.003476%"
"2022-07-03 01:00:00","XLMUSD Perpetual","8h","-0.003033%"
"2022-07-02 17:00:00","XLMUSD Perpetual","8h","-0.001647%"
"2022-07-02 09:00:00","XLMUSD Perpetual","8h","0.003606%"
"2022-07-02 01:00:00","XLMUSD Perpetual","8h","-0.020632%"
"2022-07-01 17:00:00","XLMUSD Perpetual","8h","-0.015397%"
"2022-07-01 09:00:00","XLMUSD Perpetual","8h","-0.005674%"
"2022-07-01 01:00:00","XLMUSD Perpetual","8h","-0.013872%"
"2022-06-30 17:00:00","XLMUSD Perpetual","8h","-0.001967%"
"2022-06-30 09:00:00","XLMUSD Perpetual","8h","-0.005718%"
"2022-06-30 01:00:00","XLMUSD Perpetual","8h","-0.010507%"
"2022-06-29 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-29 09:00:00","XLMUSD Perpetual","8h","0.005515%"
"2022-06-29 01:00:00","XLMUSD Perpetual","8h","-0.019400%"
"2022-06-28 17:00:00","XLMUSD Perpetual","8h","-0.008577%"
"2022-06-28 09:00:00","XLMUSD Perpetual","8h","0.006532%"
"2022-06-28 01:00:00","XLMUSD Perpetual","8h","0.003970%"
"2022-06-27 17:00:00","XLMUSD Perpetual","8h","0.008962%"
"2022-06-27 09:00:00","XLMUSD Perpetual","8h","-0.012384%"
"2022-06-27 01:00:00","XLMUSD Perpetual","8h","0.001840%"
"2022-06-26 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-26 09:00:00","XLMUSD Perpetual","8h","0.000717%"
"2022-06-26 01:00:00","XLMUSD Perpetual","8h","-0.009300%"
"2022-06-25 17:00:00","XLMUSD Perpetual","8h","-0.001444%"
"2022-06-25 09:00:00","XLMUSD Perpetual","8h","0.003185%"
"2022-06-25 01:00:00","XLMUSD Perpetual","8h","-0.007263%"
"2022-06-24 17:00:00","XLMUSD Perpetual","8h","0.005245%"
"2022-06-24 09:00:00","XLMUSD Perpetual","8h","0.000269%"
"2022-06-24 01:00:00","XLMUSD Perpetual","8h","-0.011629%"
"2022-06-23 17:00:00","XLMUSD Perpetual","8h","-0.010317%"
"2022-06-23 09:00:00","XLMUSD Perpetual","8h","-0.007643%"
"2022-06-23 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-22 17:00:00","XLMUSD Perpetual","8h","0.008777%"
"2022-06-22 09:00:00","XLMUSD Perpetual","8h","-0.006748%"
"2022-06-22 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-21 17:00:00","XLMUSD Perpetual","8h","0.008095%"
"2022-06-21 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-21 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-20 17:00:00","XLMUSD Perpetual","8h","-0.014077%"
"2022-06-20 09:00:00","XLMUSD Perpetual","8h","0.003236%"
"2022-06-20 01:00:00","XLMUSD Perpetual","8h","-0.020646%"
"2022-06-19 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-19 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-19 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-18 17:00:00","XLMUSD Perpetual","8h","0.002901%"
"2022-06-18 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-18 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-17 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-17 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-17 01:00:00","XLMUSD Perpetual","8h","0.007019%"
"2022-06-16 17:00:00","XLMUSD Perpetual","8h","-0.013735%"
"2022-06-16 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-16 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-15 17:00:00","XLMUSD Perpetual","8h","-0.008339%"
"2022-06-15 09:00:00","XLMUSD Perpetual","8h","0.001889%"
"2022-06-15 01:00:00","XLMUSD Perpetual","8h","-0.000373%"
"2022-06-14 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-14 09:00:00","XLMUSD Perpetual","8h","0.007101%"
"2022-06-14 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-13 17:00:00","XLMUSD Perpetual","8h","-0.001650%"
"2022-06-13 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-13 01:00:00","XLMUSD Perpetual","8h","-0.003100%"
"2022-06-12 17:00:00","XLMUSD Perpetual","8h","-0.009522%"
"2022-06-12 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-12 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-11 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-11 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-11 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-10 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-10 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-10 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-09 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-09 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-09 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-08 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-08 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-08 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-07 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-07 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-07 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-06 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-06 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-06 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-05 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-05 09:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-05 01:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-04 17:00:00","XLMUSD Perpetual","8h","0.010000%"
"2022-06-04 09:00:00","XLMUSD Perpetual","8h","0.010000%"
