"Time","Contracts","Funding Interval","Funding Rate"
"2022-12-24 09:00:00","XMRUSD Perpetual","8h","-0.015782%"
"2022-12-24 01:00:00","XMRUSD Perpetual","8h","-0.000374%"
"2022-12-23 17:00:00","XMRUSD Perpetual","8h","-0.014028%"
"2022-12-23 09:00:00","XMRUSD Perpetual","8h","-0.000569%"
"2022-12-23 01:00:00","XMRUSD Perpetual","8h","-0.002901%"
"2022-12-22 17:00:00","XMRUSD Perpetual","8h","-0.000152%"
"2022-12-22 09:00:00","XMRUSD Perpetual","8h","-0.014448%"
"2022-12-22 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-21 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-21 09:00:00","XMRUSD Perpetual","8h","0.003005%"
"2022-12-21 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-20 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-20 09:00:00","XMRUSD Perpetual","8h","0.001859%"
"2022-12-20 01:00:00","XMRUSD Perpetual","8h","0.006417%"
"2022-12-19 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-19 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-19 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-18 17:00:00","XMRUSD Perpetual","8h","-0.001466%"
"2022-12-18 09:00:00","XMRUSD Perpetual","8h","-0.004422%"
"2022-12-18 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-17 17:00:00","XMRUSD Perpetual","8h","0.005476%"
"2022-12-17 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-17 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-16 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-16 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-16 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-15 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-15 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-15 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-14 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-14 09:00:00","XMRUSD Perpetual","8h","0.003397%"
"2022-12-14 01:00:00","XMRUSD Perpetual","8h","0.001925%"
"2022-12-13 17:00:00","XMRUSD Perpetual","8h","-0.010137%"
"2022-12-13 09:00:00","XMRUSD Perpetual","8h","-0.021536%"
"2022-12-13 01:00:00","XMRUSD Perpetual","8h","-0.038283%"
"2022-12-12 17:00:00","XMRUSD Perpetual","8h","-0.033021%"
"2022-12-12 09:00:00","XMRUSD Perpetual","8h","-0.052696%"
"2022-12-12 01:00:00","XMRUSD Perpetual","8h","-0.029155%"
"2022-12-11 17:00:00","XMRUSD Perpetual","8h","-0.044193%"
"2022-12-11 09:00:00","XMRUSD Perpetual","8h","-0.055968%"
"2022-12-11 01:00:00","XMRUSD Perpetual","8h","-0.028625%"
"2022-12-10 17:00:00","XMRUSD Perpetual","8h","-0.047362%"
"2022-12-10 09:00:00","XMRUSD Perpetual","8h","-0.027312%"
"2022-12-10 01:00:00","XMRUSD Perpetual","8h","-0.002881%"
"2022-12-09 17:00:00","XMRUSD Perpetual","8h","-0.012666%"
"2022-12-09 09:00:00","XMRUSD Perpetual","8h","-0.021643%"
"2022-12-09 01:00:00","XMRUSD Perpetual","8h","-0.026400%"
"2022-12-08 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-08 09:00:00","XMRUSD Perpetual","8h","0.007176%"
"2022-12-08 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-07 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-07 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-07 01:00:00","XMRUSD Perpetual","8h","0.009219%"
"2022-12-06 17:00:00","XMRUSD Perpetual","8h","-0.006693%"
"2022-12-06 09:00:00","XMRUSD Perpetual","8h","0.009333%"
"2022-12-06 01:00:00","XMRUSD Perpetual","8h","-0.002486%"
"2022-12-05 17:00:00","XMRUSD Perpetual","8h","-0.005711%"
"2022-12-05 09:00:00","XMRUSD Perpetual","8h","-0.001168%"
"2022-12-05 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-04 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-04 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-04 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-03 17:00:00","XMRUSD Perpetual","8h","-0.011831%"
"2022-12-03 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-03 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-02 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-02 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-02 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-01 17:00:00","XMRUSD Perpetual","8h","-0.000126%"
"2022-12-01 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-12-01 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-30 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-30 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-30 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-29 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-29 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-29 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-28 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-28 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-28 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-27 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-27 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-27 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-26 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-26 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-26 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-25 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-25 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-25 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-24 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-24 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-24 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-23 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-23 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-23 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-22 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-22 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-22 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-21 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-21 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-21 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-20 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-20 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-20 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-19 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-19 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-19 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-18 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-18 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-18 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-17 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-17 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-17 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-16 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-16 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-16 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-15 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-15 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-15 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-14 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-14 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-14 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-13 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-13 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-13 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-12 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-12 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-12 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-11 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-11 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-11 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-10 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-10 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-10 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-09 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-09 09:00:00","XMRUSD Perpetual","8h","-0.036649%"
"2022-11-09 01:00:00","XMRUSD Perpetual","8h","0.008930%"
"2022-11-08 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-08 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-08 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-07 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-07 09:00:00","XMRUSD Perpetual","8h","0.000251%"
"2022-11-07 01:00:00","XMRUSD Perpetual","8h","-0.001454%"
"2022-11-06 17:00:00","XMRUSD Perpetual","8h","-0.022581%"
"2022-11-06 09:00:00","XMRUSD Perpetual","8h","-0.012226%"
"2022-11-06 01:00:00","XMRUSD Perpetual","8h","-0.010490%"
"2022-11-05 17:00:00","XMRUSD Perpetual","8h","-0.020313%"
"2022-11-05 09:00:00","XMRUSD Perpetual","8h","-0.000720%"
"2022-11-05 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-04 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-04 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-04 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-03 17:00:00","XMRUSD Perpetual","8h","-0.001153%"
"2022-11-03 09:00:00","XMRUSD Perpetual","8h","-0.009256%"
"2022-11-03 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-02 17:00:00","XMRUSD Perpetual","8h","0.004914%"
"2022-11-02 09:00:00","XMRUSD Perpetual","8h","-0.016806%"
"2022-11-02 01:00:00","XMRUSD Perpetual","8h","-0.000921%"
"2022-11-01 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-11-01 09:00:00","XMRUSD Perpetual","8h","0.008688%"
"2022-11-01 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-31 17:00:00","XMRUSD Perpetual","8h","-0.003063%"
"2022-10-31 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-31 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-30 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-30 09:00:00","XMRUSD Perpetual","8h","0.007670%"
"2022-10-30 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-29 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-29 09:00:00","XMRUSD Perpetual","8h","0.004453%"
"2022-10-29 01:00:00","XMRUSD Perpetual","8h","0.008804%"
"2022-10-28 17:00:00","XMRUSD Perpetual","8h","-0.001596%"
"2022-10-28 09:00:00","XMRUSD Perpetual","8h","-0.001006%"
"2022-10-28 01:00:00","XMRUSD Perpetual","8h","-0.003104%"
"2022-10-27 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-27 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-27 01:00:00","XMRUSD Perpetual","8h","0.007124%"
"2022-10-26 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-26 09:00:00","XMRUSD Perpetual","8h","0.002088%"
"2022-10-26 01:00:00","XMRUSD Perpetual","8h","0.003077%"
"2022-10-25 17:00:00","XMRUSD Perpetual","8h","0.002436%"
"2022-10-25 09:00:00","XMRUSD Perpetual","8h","0.009357%"
"2022-10-25 01:00:00","XMRUSD Perpetual","8h","-0.014136%"
"2022-10-24 17:00:00","XMRUSD Perpetual","8h","-0.004486%"
"2022-10-24 09:00:00","XMRUSD Perpetual","8h","-0.014652%"
"2022-10-24 01:00:00","XMRUSD Perpetual","8h","-0.008064%"
"2022-10-23 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-23 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-23 01:00:00","XMRUSD Perpetual","8h","0.001617%"
"2022-10-22 17:00:00","XMRUSD Perpetual","8h","-0.014483%"
"2022-10-22 09:00:00","XMRUSD Perpetual","8h","-0.001753%"
"2022-10-22 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-21 17:00:00","XMRUSD Perpetual","8h","0.001925%"
"2022-10-21 09:00:00","XMRUSD Perpetual","8h","0.006880%"
"2022-10-21 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-20 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-20 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-20 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-19 17:00:00","XMRUSD Perpetual","8h","0.006574%"
"2022-10-19 09:00:00","XMRUSD Perpetual","8h","-0.000125%"
"2022-10-19 01:00:00","XMRUSD Perpetual","8h","0.001057%"
"2022-10-18 17:00:00","XMRUSD Perpetual","8h","-0.005198%"
"2022-10-18 09:00:00","XMRUSD Perpetual","8h","-0.001462%"
"2022-10-18 01:00:00","XMRUSD Perpetual","8h","0.004143%"
"2022-10-17 17:00:00","XMRUSD Perpetual","8h","-0.007190%"
"2022-10-17 09:00:00","XMRUSD Perpetual","8h","-0.000430%"
"2022-10-17 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-16 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-16 09:00:00","XMRUSD Perpetual","8h","0.007275%"
"2022-10-16 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-15 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-15 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-15 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-14 17:00:00","XMRUSD Perpetual","8h","0.008330%"
"2022-10-14 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-14 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-13 17:00:00","XMRUSD Perpetual","8h","-0.002209%"
"2022-10-13 09:00:00","XMRUSD Perpetual","8h","0.003479%"
"2022-10-13 01:00:00","XMRUSD Perpetual","8h","-0.005357%"
"2022-10-12 17:00:00","XMRUSD Perpetual","8h","-0.002665%"
"2022-10-12 09:00:00","XMRUSD Perpetual","8h","-0.000140%"
"2022-10-12 01:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-11 17:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-11 09:00:00","XMRUSD Perpetual","8h","0.010000%"
"2022-10-11 01:00:00","XMRUSD Perpetual","8h","0.010000%"
