"Time","Contracts","Funding Interval","Funding Rate"
"2022-09-20 09:00:00","XRPUSD Perpetual","8h","0.001086%"
"2022-09-20 01:00:00","XRPUSD Perpetual","8h","0.010000%"
"2022-09-19 17:00:00","XRPUSD Perpetual","8h","0.010000%"
"2022-09-19 09:00:00","XRPUSD Perpetual","8h","0.002189%"
"2022-09-19 01:00:00","XRPUSD Perpetual","8h","0.004114%"
"2022-09-18 17:00:00","XRPUSD Perpetual","8h","0.002982%"
"2022-09-18 09:00:00","XRPUSD Perpetual","8h","-0.001386%"
"2022-09-18 01:00:00","XRPUSD Perpetual","8h","-0.009448%"
"2022-09-17 17:00:00","XRPUSD Perpetual","8h","0.007276%"
"2022-09-17 09:00:00","XRPUSD Perpetual","8h","-0.000039%"
"2022-09-17 01:00:00","XRPUSD Perpetual","8h","0.008472%"
"2022-09-16 17:00:00","XRPUSD Perpetual","8h","-0.000915%"
"2022-09-16 09:00:00","XRPUSD Perpetual","8h","0.010000%"
"2022-09-16 01:00:00","XRPUSD Perpetual","8h","0.010000%"
"2022-09-15 17:00:00","XRPUSD Perpetual","8h","-0.005079%"
"2022-09-15 09:00:00","XRPUSD Perpetual","8h","-0.008408%"
"2022-09-15 01:00:00","XRPUSD Perpetual","8h","0.009555%"
"2022-09-14 17:00:00","XRPUSD Perpetual","8h","-0.008197%"
"2022-09-14 09:00:00","XRPUSD Perpetual","8h","0.000959%"
"2022-09-14 01:00:00","XRPUSD Perpetual","8h","0.010000%"
"2022-09-13 17:00:00","XRPUSD Perpetual","8h","-0.006034%"
"2022-09-13 09:00:00","XRPUSD Perpetual","8h","-0.015362%"
"2022-09-13 01:00:00","XRPUSD Perpetual","8h","0.006674%"
"2022-09-12 17:00:00","XRPUSD Perpetual","8h","-0.004394%"
"2022-09-12 09:00:00","XRPUSD Perpetual","8h","-0.013069%"
"2022-09-12 01:00:00","XRPUSD Perpetual","8h","-0.009957%"
"2022-09-11 17:00:00","XRPUSD Perpetual","8h","-0.007599%"
"2022-09-11 09:00:00","XRPUSD Perpetual","8h","-0.015144%"
"2022-09-11 01:00:00","XRPUSD Perpetual","8h","-0.001301%"
"2022-09-10 17:00:00","XRPUSD Perpetual","8h","-0.001616%"
"2022-09-10 09:00:00","XRPUSD Perpetual","8h","-0.008089%"
"2022-09-10 01:00:00","XRPUSD Perpetual","8h","-0.001347%"
"2022-09-09 17:00:00","XRPUSD Perpetual","8h","-0.009739%"
"2022-09-09 09:00:00","XRPUSD Perpetual","8h","-0.018546%"
"2022-09-09 01:00:00","XRPUSD Perpetual","8h","0.000390%"
"2022-09-08 17:00:00","XRPUSD Perpetual","8h","0.010000%"
"2022-09-08 09:00:00","XRPUSD Perpetual","8h","-0.009019%"
"2022-09-08 01:00:00","XRPUSD Perpetual","8h","0.002718%"
"2022-09-07 17:00:00","XRPUSD Perpetual","8h","0.009532%"
"2022-09-07 09:00:00","XRPUSD Perpetual","8h","-0.004883%"
"2022-09-07 01:00:00","XRPUSD Perpetual","8h","0.010000%"
"2022-09-06 17:00:00","XRPUSD Perpetual","8h","0.010000%"
"2022-09-06 09:00:00","XRPUSD Perpetual","8h","0.002226%"
